"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;13;10;7;2;3;3;2;7;7;54;;
"2017";0;0;3;5;7;2;5;3;4;3;3;4;39;-15;-27,78
"2018";2;2;6;5;3;0;4;5;3;1;2;4;37;-2;-5,13
"2019";4;3;3;2;3;2;3;6;3;9;2;4;44;7;18,92
"2020";6;3;3;1;0;4;2;3;6;0;1;0;29;-15;-34,09
"2021";1;1;4;2;2;0;2;4;2;3;6;5;32;3;10,34
"2022";0;3;6;12;4;1;0;3;5;2;8;7;51;19;59,38
"2023";10;5;10;2;5;7;5;8;3;7;9;1;72;21;41,18
"2024";13;6;6;4;6;7;4;12;7;7;5;5;82;10;13,89
"2025";1;7;7;7;10;5;13;7;6;12;5;12;92;10;12,2
"2026";6;6;7;;;;;;;;;;19;-73;-79,35
