"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;22;15;20;25;16;31;23;20;28;200;;
"2017";14;5;9;13;26;13;23;13;25;13;17;14;185;-15;-7,5
"2018";12;7;15;8;15;13;9;15;15;18;16;14;157;-28;-15,14
"2019";24;22;12;14;10;20;12;15;3;4;12;13;161;4;2,55
"2020";11;10;4;1;0;6;11;11;8;11;10;13;96;-65;-40,37
"2021";9;12;12;12;6;9;7;7;5;5;8;4;96;0;0
"2022";12;7;11;13;16;16;14;10;7;13;19;11;149;53;55,21
"2023";18;11;18;9;16;11;13;7;16;8;19;11;157;8;5,37
"2024";9;8;15;17;10;14;16;8;15;12;14;15;153;-4;-2,55
"2025";8;11;16;9;19;7;6;15;13;11;9;7;131;-22;-14,38
"2026";2;11;9;;;;;;;;;;22;-109;-83,21
