"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;6;9;7;4;4;7;4;7;6;54;;
"2017";2;0;3;8;4;4;5;3;6;3;3;5;46;-8;-14,81
"2018";6;12;8;12;9;9;4;8;12;5;5;10;100;54;117,39
"2019";5;11;7;9;12;11;12;5;9;7;6;5;99;-1;-1
"2020";5;8;8;0;3;1;3;6;4;6;6;3;53;-46;-46,46
"2021";1;4;5;4;3;3;7;3;8;3;3;2;46;-7;-13,21
"2022";2;2;4;1;3;6;2;7;4;4;2;3;40;-6;-13,04
"2023";2;8;11;5;5;5;3;2;3;5;6;4;59;19;47,5
"2024";1;3;2;1;4;1;7;1;4;3;3;3;33;-26;-44,07
"2025";2;3;0;1;1;4;2;3;2;0;0;2;20;-13;-39,39
"2026";0;1;2;;;;;;;;;;3;-17;-85
