"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;8;4;8;5;5;8;4;5;1;48;;
"2017";1;2;3;2;1;2;2;2;2;3;5;6;31;-17;-35,42
"2018";1;3;7;9;6;8;9;9;0;2;4;6;64;33;106,45
"2019";5;5;1;4;9;2;8;3;5;1;4;5;52;-12;-18,75
"2020";1;3;4;0;0;0;2;5;2;3;3;3;26;-26;-50
"2021";5;4;3;6;4;4;4;1;4;1;2;5;43;17;65,38
"2022";3;6;8;8;18;13;9;18;12;19;11;8;133;90;209,3
"2023";6;13;17;10;8;9;13;6;9;8;11;13;123;-10;-7,52
"2024";10;6;12;4;14;8;9;6;10;9;11;15;114;-9;-7,32
"2025";8;19;6;14;6;10;16;12;19;8;9;10;137;23;20,18
"2026";10;5;7;;;;;;;;;;22;-115;-83,94
