"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;39;43;33;22;49;45;36;26;44;337;;
"2017";23;9;28;25;37;27;21;46;34;47;23;26;346;9;2,67
"2018";28;27;34;24;25;22;28;27;13;27;17;12;284;-62;-17,92
"2019";20;24;12;13;20;18;17;23;13;19;10;13;202;-82;-28,87
"2020";17;9;8;2;2;2;5;11;8;13;10;12;99;-103;-50,99
"2021";8;4;10;11;7;8;7;19;13;10;7;5;109;10;10,1
"2022";11;3;13;17;16;12;8;3;15;9;8;13;128;19;17,43
"2023";13;10;7;18;10;11;19;13;19;20;8;9;157;29;22,66
"2024";21;16;20;23;16;9;13;22;9;12;12;12;185;28;17,83
"2025";12;8;8;8;7;8;7;5;14;14;15;13;119;-66;-35,68
"2026";11;7;11;;;;;;;;;;29;-90;-75,63
