"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;8;16;20;24;23;34;25;20;24;194;;
"2017";14;3;11;19;23;23;24;34;17;14;23;18;223;29;14,95
"2018";18;21;22;25;24;19;22;20;18;34;17;28;268;45;20,18
"2019";30;18;28;26;26;22;29;21;15;27;24;11;277;9;3,36
"2020";23;26;13;9;9;6;11;29;22;28;33;29;238;-39;-14,08
"2021";30;31;33;25;21;30;34;28;23;25;24;35;339;101;42,44
"2022";25;19;31;26;28;21;26;28;38;33;29;35;339;0;0
"2023";26;24;23;24;35;19;20;19;23;27;17;18;275;-64;-18,88
"2024";16;23;27;15;23;13;25;28;30;26;18;27;271;-4;-1,45
"2025";28;33;24;29;39;34;33;17;37;26;17;43;360;89;32,84
"2026";15;23;34;;;;;;;;;;72;-288;-80
