"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;30;21;30;25;31;29;26;17;20;229;;
"2017";4;6;18;12;34;24;32;24;29;25;27;26;261;32;13,97
"2018";21;19;32;25;34;23;29;19;19;21;19;17;278;17;6,51
"2019";18;25;19;15;21;22;20;15;27;16;15;17;230;-48;-17,27
"2020";22;22;9;2;1;2;13;5;14;11;10;4;115;-115;-50
"2021";14;8;6;6;9;8;8;9;7;4;4;3;86;-29;-25,22
"2022";8;6;5;12;18;6;10;18;12;21;16;17;149;63;73,26
"2023";9;7;8;7;14;9;9;13;10;8;7;8;109;-40;-26,85
"2024";20;9;11;19;9;14;17;23;12;17;8;12;171;62;56,88
"2025";12;15;13;14;20;20;30;28;16;24;12;10;214;43;25,15
"2026";12;1;7;;;;;;;;;;20;-194;-90,65
