"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;2;2;4;2;6;1;2;3;1;23;;
"2017";3;1;9;4;6;6;10;6;7;4;7;14;77;54;234,78
"2018";6;6;10;10;8;12;9;8;9;8;8;1;95;18;23,38
"2019";5;4;4;7;10;8;13;6;7;7;6;4;81;-14;-14,74
"2020";4;8;6;0;0;0;0;3;1;2;2;1;27;-54;-66,67
"2021";0;2;8;3;7;6;5;8;4;3;14;8;68;41;151,85
"2022";7;10;11;10;16;22;17;11;9;7;14;8;142;74;108,82
"2023";12;3;3;7;5;11;4;16;12;15;17;10;115;-27;-19,01
"2024";17;10;14;21;19;26;13;14;9;18;22;21;204;89;77,39
"2025";14;17;15;12;9;11;21;18;9;13;16;16;171;-33;-16,18
"2026";13;9;23;;;;;;;;;;45;-126;-73,68
