"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;17;13;16;20;16;15;14;16;14;141;;
"2017";11;1;6;6;18;6;9;18;11;21;22;17;146;5;3,55
"2018";16;21;24;23;10;17;12;18;16;18;19;3;197;51;34,93
"2019";10;14;10;12;20;16;21;10;9;18;16;14;170;-27;-13,71
"2020";5;11;8;0;0;2;1;4;4;1;3;3;42;-128;-75,29
"2021";1;8;10;5;3;14;5;7;8;11;7;17;96;54;128,57
"2022";12;14;15;17;24;16;10;18;10;14;16;17;183;87;90,62
"2023";11;8;9;13;16;10;10;12;14;17;19;12;151;-32;-17,49
"2024";15;14;14;22;17;16;14;28;20;22;28;24;234;83;54,97
"2025";31;24;34;23;21;36;21;24;26;19;12;11;282;48;20,51
"2026";14;15;19;;;;;;;;;;48;-234;-82,98
