"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;11;12;14;10;16;16;19;20;13;131;;
"2017";9;1;4;4;12;9;6;11;15;8;9;3;91;-40;-30,53
"2018";9;6;16;12;13;12;5;10;10;12;9;7;121;30;32,97
"2019";9;17;7;10;16;13;23;20;18;23;24;22;202;81;66,94
"2020";13;20;9;0;4;3;1;2;7;6;6;5;76;-126;-62,38
"2021";3;6;3;3;4;5;6;3;5;3;3;6;50;-26;-34,21
"2022";5;3;8;5;7;4;5;6;6;13;6;11;79;29;58
"2023";6;2;9;12;17;13;10;7;7;4;4;10;101;22;27,85
"2024";8;5;18;6;5;7;10;12;14;8;8;7;108;7;6,93
"2025";10;15;5;15;19;10;9;7;8;8;8;7;121;13;12,04
"2026";9;12;12;;;;;;;;;;33;-88;-72,73
