"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;9;4;4;4;7;5;11;6;4;54;;
"2017";0;1;5;2;11;4;4;2;6;4;4;3;46;-8;-14,81
"2018";4;8;5;3;8;5;4;8;3;4;3;4;59;13;28,26
"2019";8;7;7;7;4;4;5;6;2;5;2;6;63;4;6,78
"2020";4;3;0;1;0;2;1;5;2;3;3;5;29;-34;-53,97
"2021";3;1;2;0;3;4;2;3;3;3;2;3;29;0;0
"2022";1;5;6;5;6;4;5;7;7;4;4;1;55;26;89,66
"2023";7;6;4;3;4;3;1;4;2;2;3;5;44;-11;-20
"2024";7;5;3;2;3;0;10;1;5;4;2;0;42;-2;-4,55
"2025";3;1;6;6;5;6;2;5;4;9;7;3;57;15;35,71
"2026";2;1;4;;;;;;;;;;7;-50;-87,72
