"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;6;11;15;10;7;8;15;10;12;94;;
"2017";7;3;7;6;13;11;8;12;15;14;10;4;110;16;17,02
"2018";9;7;10;11;15;10;7;7;8;8;8;9;109;-1;-0,91
"2019";9;12;26;8;13;15;26;12;12;15;11;7;166;57;52,29
"2020";4;7;3;1;3;5;2;2;4;3;4;3;41;-125;-75,3
"2021";1;0;5;7;6;6;1;7;3;3;9;5;53;12;29,27
"2022";10;17;9;16;20;16;24;15;8;20;24;10;189;136;256,6
"2023";16;11;24;27;35;19;18;36;19;23;19;15;262;73;38,62
"2024";4;12;14;17;21;20;17;28;27;14;27;13;214;-48;-18,32
"2025";23;9;20;16;15;20;15;18;29;18;20;10;213;-1;-0,47
"2026";21;13;25;;;;;;;;;;59;-154;-72,3
