"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;8;11;5;15;6;11;15;12;15;98;;
"2017";9;7;9;15;18;4;11;12;11;19;40;20;175;77;78,57
"2018";8;16;14;15;14;6;7;5;3;13;12;3;116;-59;-33,71
"2019";4;7;3;6;9;3;5;7;5;6;4;2;61;-55;-47,41
"2020";3;4;4;6;0;3;4;6;1;3;3;8;45;-16;-26,23
"2021";1;3;3;5;3;3;2;2;4;2;1;2;31;-14;-31,11
"2022";1;4;5;0;4;2;1;3;1;2;3;0;26;-5;-16,13
"2023";1;2;6;4;0;2;1;3;1;0;0;1;21;-5;-19,23
"2024";0;1;2;1;2;1;5;3;3;5;3;1;27;6;28,57
"2025";2;1;1;0;2;0;1;2;1;0;1;0;11;-16;-59,26
"2026";0;1;0;;;;;;;;;;1;-10;-90,91
