"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;15;4;14;13;10;5;7;10;10;88;;
"2017";2;8;7;14;8;7;14;11;11;4;16;11;113;25;28,41
"2018";10;7;7;9;10;6;4;5;4;2;3;9;76;-37;-32,74
"2019";3;4;8;23;12;14;13;7;7;5;7;8;111;35;46,05
"2020";7;2;6;3;3;3;16;10;6;8;16;3;83;-28;-25,23
"2021";12;22;13;5;14;14;15;19;6;18;9;8;155;72;86,75
"2022";19;18;14;9;6;12;3;1;4;6;2;4;98;-57;-36,77
"2023";10;29;6;12;14;8;6;5;10;7;7;8;122;24;24,49
"2024";4;5;5;19;17;5;10;12;8;11;5;4;105;-17;-13,93
"2025";12;8;7;3;3;6;3;3;5;4;1;3;58;-47;-44,76
"2026";4;4;1;;;;;;;;;;9;-49;-84,48
