"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;8;3;5;3;6;2;4;10;4;45;;
"2017";5;1;3;2;2;5;9;15;6;9;6;5;68;23;51,11
"2018";6;3;4;4;7;5;5;3;5;9;11;6;68;0;0
"2019";8;4;10;11;11;7;9;6;9;7;10;7;99;31;45,59
"2020";3;5;5;1;0;2;2;3;2;2;2;6;33;-66;-66,67
"2021";1;0;6;8;6;1;4;1;2;2;3;1;35;2;6,06
"2022";1;2;2;0;3;3;10;2;3;4;3;4;37;2;5,71
"2023";0;1;2;0;2;5;2;0;4;2;2;4;24;-13;-35,14
"2024";5;4;4;3;3;5;5;3;5;7;2;7;53;29;120,83
"2025";6;10;11;4;8;9;4;2;1;6;3;3;67;14;26,42
"2026";4;1;2;;;;;;;;;;7;-60;-89,55
