"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;2;4;4;1;5;4;6;2;1;29;;
"2017";1;4;10;18;6;8;8;3;6;6;6;3;79;50;172,41
"2018";7;2;10;15;9;12;16;8;11;6;6;7;109;30;37,97
"2019";3;11;7;8;8;2;9;15;8;14;8;3;96;-13;-11,93
"2020";7;5;6;1;2;9;5;1;2;2;1;5;46;-50;-52,08
"2021";1;6;0;5;3;2;4;3;2;3;6;2;37;-9;-19,57
"2022";2;1;0;1;3;7;12;4;4;4;3;1;42;5;13,51
"2023";4;4;3;0;4;2;4;1;2;0;2;0;26;-16;-38,1
"2024";1;1;5;1;1;1;1;1;4;2;2;1;21;-5;-19,23
"2025";5;1;0;1;1;1;2;2;0;0;0;0;13;-8;-38,1
"2026";1;1;3;;;;;;;;;;5;-8;-61,54
