"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;1;3;10;7;6;6;6;6;1;46;;
"2017";0;1;6;9;7;10;12;8;8;8;5;4;78;32;69,57
"2018";5;6;5;7;5;5;4;10;6;6;2;7;68;-10;-12,82
"2019";7;1;5;2;9;5;4;3;2;4;9;3;54;-14;-20,59
"2020";10;4;1;1;6;4;2;1;0;1;3;6;39;-15;-27,78
"2021";7;4;2;8;1;5;4;6;6;9;2;2;56;17;43,59
"2022";3;2;2;6;1;1;4;3;3;3;1;5;34;-22;-39,29
"2023";0;1;1;3;3;4;3;0;2;1;3;2;23;-11;-32,35
"2024";2;4;1;4;4;3;11;3;2;6;5;6;51;28;121,74
"2025";3;7;2;0;2;3;1;1;3;1;2;1;26;-25;-49,02
"2026";2;4;5;;;;;;;;;;11;-15;-57,69
