"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;8;7;5;6;14;6;9;8;6;69;;
"2017";7;2;12;11;19;15;12;7;12;6;7;7;117;48;69,57
"2018";11;2;2;5;5;0;1;5;8;4;4;3;50;-67;-57,26
"2019";9;2;4;2;6;1;5;3;2;2;1;1;38;-12;-24
"2020";2;3;1;2;0;2;5;5;0;3;3;3;29;-9;-23,68
"2021";2;3;5;4;4;1;0;2;0;1;0;0;22;-7;-24,14
"2022";1;0;2;2;0;1;4;0;3;2;0;1;16;-6;-27,27
"2023";3;2;2;1;4;3;0;0;0;1;2;3;21;5;31,25
"2024";1;0;1;1;1;1;0;1;1;5;0;1;13;-8;-38,1
"2025";3;0;3;1;1;8;2;3;0;1;1;1;24;11;84,62
"2026";0;0;2;;;;;;;;;;2;-22;-91,67
