"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;23;31;35;32;25;21;32;32;27;258;;
"2017";19;11;36;46;59;31;47;45;49;29;28;23;423;165;63,95
"2018";31;38;46;68;75;38;39;53;33;64;56;46;587;164;38,77
"2019";55;41;61;51;44;40;47;36;38;54;46;48;561;-26;-4,43
"2020";60;41;34;11;22;28;35;34;34;40;43;41;423;-138;-24,6
"2021";57;39;26;34;30;28;22;37;38;24;17;10;362;-61;-14,42
"2022";10;9;6;2;14;17;5;11;14;7;23;12;130;-232;-64,09
"2023";12;10;13;11;16;25;9;21;12;7;10;15;161;31;23,85
"2024";38;26;34;24;39;19;29;12;9;15;13;26;284;123;76,4
"2025";22;28;13;28;30;19;33;16;16;13;16;5;239;-45;-15,85
"2026";6;3;13;;;;;;;;;;22;-217;-90,79
