"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;6;4;4;3;2;12;8;13;13;65;;
"2017";11;14;34;19;13;9;14;20;23;40;26;10;233;168;258,46
"2018";8;13;34;30;40;20;7;19;34;53;34;15;307;74;31,76
"2019";11;16;15;16;29;32;24;10;30;34;44;26;287;-20;-6,51
"2020";15;18;5;0;2;1;4;5;3;9;16;5;83;-204;-71,08
"2021";8;4;6;12;12;14;9;12;8;14;11;14;124;41;49,4
"2022";13;17;12;12;21;17;8;9;12;15;6;11;153;29;23,39
"2023";5;10;9;12;9;5;5;10;6;10;4;9;94;-59;-38,56
"2024";8;5;12;7;8;6;8;41;74;32;11;14;226;132;140,43
"2025";30;29;34;23;13;14;4;19;6;7;3;7;189;-37;-16,37
"2026";5;6;7;;;;;;;;;;18;-171;-90,48
