"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;20;33;17;16;28;19;19;30;25;207;;
"2017";9;3;40;48;41;51;56;52;40;29;29;31;429;222;107,25
"2018";20;34;43;53;40;38;46;46;22;38;19;47;446;17;3,96
"2019";25;52;36;26;31;48;33;30;23;31;44;40;419;-27;-6,05
"2020";25;38;29;9;10;2;20;19;10;12;9;22;205;-214;-51,07
"2021";46;41;49;29;19;15;14;9;8;6;7;4;247;42;20,49
"2022";5;3;9;5;6;8;4;13;17;23;7;11;111;-136;-55,06
"2023";3;8;22;6;8;9;6;4;6;5;5;2;84;-27;-24,32
"2024";9;7;4;6;24;22;5;20;18;13;7;17;152;68;80,95
"2025";9;10;7;30;4;7;6;5;9;2;5;3;97;-55;-36,18
"2026";1;6;6;;;;;;;;;;13;-84;-86,6
