"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;3;4;1;5;3;2;5;2;1;26;;
"2017";3;3;4;8;3;7;9;5;5;0;6;4;57;31;119,23
"2018";1;3;1;5;6;6;5;3;2;1;5;1;39;-18;-31,58
"2019";4;13;4;5;5;1;2;2;1;1;1;2;41;2;5,13
"2020";1;2;1;1;1;0;2;1;1;4;0;2;16;-25;-60,98
"2021";2;1;2;1;4;3;3;3;1;0;1;3;24;8;50
"2022";1;0;2;0;0;1;1;1;1;0;1;0;8;-16;-66,67
"2023";1;1;4;0;1;0;0;0;0;2;1;0;10;2;25
"2024";0;0;0;0;0;0;1;1;2;3;1;2;10;0;0
"2025";3;1;2;1;0;1;0;0;1;0;1;0;10;0;0
"2026";0;1;0;;;;;;;;;;1;-9;-90
