id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
48883,"Vila Joaniza, Complexo do Barbante, Ilha do Governador, Rio de Janeiro - RJ, 21941-660, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GALEAO,,MORRO DO BARBANTE (OU VILA JOANIZA),-22.8133777000,-43.2295811000,"01/04/2022, 06:00:00",true,true,PM,Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48885,"Furquim Mendes, Vigário Geral, Rio de Janeiro - RJ, 21241-360, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VIGARIO GERAL,,FURQUIM MENDES,-22.8061175000,-43.3156679000,"01/04/2022, 07:00:00",true,true,PM,Operação policial,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48892,"Cidade Nova, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE NOVA,,,-22.9095049000,-43.2001376000,"01/04/2022, 16:55:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48894,"R. Arcozelo - Vila Valqueire, Rio de Janeiro - RJ, 21321-480, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA VALQUEIRE,,,-22.8871017000,-43.3703999000,"01/04/2022, 18:18:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48895,"R. Araújo Leitão - Engenho Novo, Rio de Janeiro - RJ, 20715-310, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ENGENHO NOVO,,,-22.9137398000,-43.2718519000,"01/04/2022, 19:15:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48897,"Morro do Fubá - Cascadura, Rio de Janeiro - RJ, 21311-120, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO FUBA (COMPLEXO DO FUBA),-22.8906744000,-43.3321011000,"01/04/2022, 20:46:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48905,"Morro do Campinho - Campinho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAMPINHO,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.8856237000,-43.3481044000,"01/04/2022, 21:46:00",false,false,,Disputa,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48903,"Morro do Campinho - Campinho, Rio de Janeiro - RJ, 21341-460, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CAMPINHO,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.8855433000,-43.3479343000,"01/04/2022, 22:46:00",false,false,,Disputa,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48922,"Vila da Paz - Itanhangá, Rio de Janeiro - RJ, 22753-005, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ITANHANGA,,VILA DA PAZ,-22.9911103000,-43.3114127000,"02/04/2022, 12:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48909,"Rua Ulysses Guimarães - Cidade Nova, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE NOVA,,,-22.9125288000,-43.2054387000,"02/04/2022, 12:00:00",false,false,,Tentativa/Roubo,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48910,"R. Clemente Falcão - Tijuca, Rio de Janeiro - RJ, 20510-120, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,TIJUCA,,,-22.9270339000,-43.2423866000,"02/04/2022, 14:53:00",true,true,UPP (Borel),Ação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48912,"Morro da Quitanda - Costa Barros, Rio de Janeiro - RJ, 21532-080, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,MORRO DA QUITANDA (COMPLEXO DA PEDREIRA),-22.8193429000,-43.3671553000,"02/04/2022, 15:32:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48913,"Baixa do Sapateiro- Maré, Rio de Janeiro - RJ, 21043, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,BAIXA DO SAPATEIRO (COMPLEXO DA MARE),-22.8603818000,-43.2422607000,"02/04/2022, 18:40:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48914,"R. Aristídes Lôbo - Rio Comprido, Rio de Janeiro - RJ, 20250-450, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,RIO COMPRIDO,,,-22.9207263000,-43.2086855000,"02/04/2022, 19:20:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48915,"Morro do Vintém - Padre Miguel, Rio de Janeiro - RJ, 21721-270, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,VILA VINTEM,-22.8722154000,-43.4433143000,"02/04/2022, 20:49:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48919,"Morro da Serrinha - Madureira, Rio de Janeiro - RJ, 21360-370, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MADUREIRA,,MORRO DA SERRINHA (COMPLEXO DA SERRINHA),-22.8644258000,-43.3280985000,"02/04/2022, 22:45:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48920,"R. Tremembé - Freguesia (Ilha do Governador), Rio de Janeiro - RJ, 21911-550, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,FREGUESIA (ILHA),,,-22.7903747000,-43.1787136000,"03/04/2022, 04:00:00",true,true,N�o identificado,Ação policial,,,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48923,"R. Sirici - Mal. Hermes, Rio de Janeiro - RJ, 21555-360, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARECHAL HERMES,,,-22.8578845000,-43.3671322000,"03/04/2022, 11:27:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48928,"Cesarão  - Santa Cruz, Rio de Janeiro - RJ, 23591-640, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA CRUZ,,CESARAO,-22.9346143000,-43.6653977000,"03/04/2022, 12:00:00",false,false,,Homicidio/Tentativa,,Feminicídio/tentativa,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48924,"R. Uruguai - Andaraí, Rio de Janeiro - RJ, 20510-061, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANDARAI,,,-22.9276518000,-43.2444378000,"03/04/2022, 17:13:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
