id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre
71377,"Morro do Amor - Rua Dona Francisca - Lins de Vasconcelos, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,LINS DE VASCONCELOS,,MORRO DO AMOR (COMPLEXO DO LINS),-22.9135991,-43.2762509,"10/05/2025, 12:40:00",false,false,,Não identificado,,,false
71382,"Vila Vale - Rio das Pedras, Jacarepagua, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JACAREPAGUA,,RIO DAS PEDRAS,-22.975989,-43.3338632,"10/05/2025, 15:05:00",false,false,,Não identificado,,,false
71383,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634	,-43.25524243,"10/05/2025, 22:00:00",false,false,,Disputa,,,false
71385,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634	,-43.25524243,"10/05/2025, 23:00:00",false,false,,Disputa,,,false
71391,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634,	-43.25524243,"11/05/2025, 01:20:00",false,false,,Disputa,,,false
71390,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91189634,	-43.25524243,"11/05/2025, 07:30:00",false,false,,Disputa,,,false
71394,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-031, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91184513873006,-43.25470929580079,"11/05/2025, 10:12:00",false,false,,Não identificado,,,false
71396,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-031, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.912357169984777,-43.25308655934678,"11/05/2025, 11:15:00",false,false,,Disputa,,,false
71401,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-630, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.911956724521485,-43.255225486755364,"11/05/2025, 17:00:00",false,false,,Disputa,,,false
71400,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-230, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.9126682537086,-43.2558263015747,"11/05/2025, 18:15:00",false,false,,Disputa,,,false
71402,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-230, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.9118579007279,-43.25634128570556,"11/05/2025, 19:05:00",false,false,,Disputa,,Tiroteio contínuo,false
71403,"Rua Tramandai, Guarabu, Jardim Carioca, Rio de Janeiro, Rio de Janeiro, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JARDIM CARIOCA,,GUARABU,-22.8069402,-43.1932888,"11/05/2025, 20:31:00",false,false,,Não identificado,,,false
71416,"Fallet-Fogueteiro - Santa Teresa, Rio de Janeiro - RJ, 20251-250, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA TERESA,,FALLET/FOGUETEIRO,-22.92641055	,-43.19702099,"12/05/2025, 06:00:00",true,true,PC (DESARME); PC (DGPE); PC (CORE),Operação policial,,,false
71406,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20560, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.911680017717877,-43.25576192855834,"12/05/2025, 06:55:00",false,false,,Disputa,,,false
71422,"Túnel Noel Rosa - Vila Isabel, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,,-22.9105493,-43.2534766,"12/05/2025, 17:39:00",false,false,,Não identificado,,,false
71435,"Estr. dos Bandeirantes - Taquara, Rio de Janeiro - RJ, 23535-480, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,TAQUARA,,,-22.929852529659527,-43.37324740734022,"12/05/2025, 19:00:00",false,false,,Homicidio/Tentativa,,,false
71425,"B2 - Rua Nossa Senhora das Graças - Del Castilho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,DEL CASTILHO,,FAVELA BANDEIRA 2,-22.8812784,-43.26809739999999,"12/05/2025, 20:07:00",false,false,,Não identificado,,,false
71431,"Morro do Campinho (Complexo do Fubá) - Cascadura, Rio de Janeiro - RJ, 21320-300, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.8850951874697	,-43.337939003183074,"12/05/2025, 21:17:00",false,false,,Não identificado,,,false
71442,"Avenida Brasil - Maré, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,NOVA HOLANDA (COMPLEXO DA MARE),-22.8587984,-43.2476958,"12/05/2025, 22:10:00",false,false,,Não identificado,,Ataques armados sobre rodas,false
71442,"Avenida Brasil - Maré, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,MARE,,NOVA HOLANDA (COMPLEXO DA MARE),-22.8587984,-43.2476958,"12/05/2025, 22:10:00",false,false,,Não identificado,,Ataques armados sobre rodas,false
71429,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.910830129003884,-43.25651294708251,"12/05/2025, 22:35:00",true,true,PM (BPCHQ),Operação policial,,,false
