id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded,neighborhood_cleaned
31360,"Favela da Guacha - Glaucia, Belford Roxo - RJ, 26195-300, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,GLAUCIA,,FAVELA DA GUACHA,-22.7564957,-43.351358,"18/10/2019, 06:46:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glaucia
31362,"15 - Cidade de Deus, Rio de Janeiro - RJ, 22773, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE DE DEUS,,CIDADE DE DEUS,-22.9481372,-43.3654156,"18/10/2019, 07:06:00",True,True,N�o identificado,Ação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cidade de deus
31365,"Jacarezinho, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JACAREZINHO,,JACAREZINHO,-22.8875573,-43.2581953,"18/10/2019, 07:25:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jacarezinho
31366,"Favela da Guacha - Glaucia, Belford Roxo - RJ, 26195-300, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,GLAUCIA,,FAVELA DA GUACHA,-22.7564957,-43.351358,"18/10/2019, 08:13:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glaucia
31371,"Estr. do Taquaral - Senador Camará, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SENADOR CAMARA,,,-22.8713243,-43.4870367,"18/10/2019, 17:07:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,senador camara
31372,"Morro do 18 - Água Santa, Rio de Janeiro - RJ, 20745, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,AGUA SANTA,,MORRO DO 18 (COMPLEXO DO 18),-22.9083251,-43.3165725,"18/10/2019, 18:24:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agua santa
31373,"Jardim Roma, Nova Iguaçu - RJ, 26279, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,RIACHAO,,JARDIM ROMA,-22.7455447,-43.5234337,"18/10/2019, 19:35:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,riachao
31382,"Rod. Presidente-Dutra, Queimados - RJ, 26320-500, Brasil",Sudeste,Rio de Janeiro,Queimados,VILA SAO JOAO,,,-22.733849,-43.5571036,"18/10/2019, 20:30:00",False,False,,Homicidio/Tentativa,,Ataques armados sobre rodas,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,vila sao joao
31393,"R. Tibiriçá - Comendador Soares, Nova Iguaçu - RJ, 26281-220, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,COMENDADOR SOARES,,,-22.7430272,-43.48021,"18/10/2019, 21:00:00",False,False,,Homicidio/Tentativa,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,comendador soares
31379,"São Gonçalo, RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,NI,,,-22.8272883,-43.0637646,"18/10/2019, 23:00:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ni
31380,"Morro do Dendê, Ilha Do Governador, Rio de Janeiro - RJ, 21921-415, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,JARDIM CARIOCA,,MORRO DO DENDE,-22.8017809,-43.1913179,"18/10/2019, 23:52:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jardim carioca
31378,"Morro do Borel - Tijuca, Rio de Janeiro - RJ, 20530-420, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,TIJUCA,,MORRO DO BOREL,-22.9395041,-43.2515359,"19/10/2019, 01:18:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tijuca
31376,"R. Severina Corrêa, 213-407 - Miriambi, São Gonçalo - RJ, 24731-140, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,MIRIAMBI,,,-22.823394,-42.9848265,"19/10/2019, 02:11:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,miriambi
31377,"Manilha, Vila Kennedy - Bangu, Rio de Janeiro - RJ, 21850-007, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8606969,-43.488347,"19/10/2019, 02:40:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
31384,"Santa Teresa, Belford Roxo - RJ, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,SANTA TEREZA,,,-22.741442,-43.3449457,"19/10/2019, 06:47:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,santa tereza
31405,"Estr. do Camboatá - Deodoro, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,DEODORO,,,-22.8451905,-43.3839575,"19/10/2019, 13:00:00",False,True,,Tentativa/Roubo,,,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,deodoro
