"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2021";531;410;487;460;388;340;358;386;358;406;333;305;4762;;
"2022";364;362;413;363;357;316;445;365;360;405;386;349;4485;-277;-5,82
"2023";375;411;477;383;377;345;302;288;335;300;337;340;4270;-215;-4,79
"2024";324;307;333;292;357;313;298;305;284;310;316;370;3809;-461;-10,8
"2025";401;336;347;308;310;270;240;296;335;430;276;341;3890;81;2,13
"2026";352;303;318;;;;;;;;;;973;-2917;-74,99
