,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
172,610,2026-04,103.78,22.74,12.89,90.33,23.67,7.5,2026-04-01,2026-04-30,0.5358452138492872,0.13083521738918946,medio
173,611,2026-04,109.49,26.77,14.63,105.67,27.58,10.25,2026-04-01,2026-04-30,0.5812627291242363,0.30145658275637777,medio
174,613,2026-04,156.39,34.01,10.48,153.42,38.33,9.58,2026-04-01,2026-04-30,0.6036150712830958,0.3854283085368663,medio
175,614,2026-04,150.49,29.67,7.51,138.08,34.42,7.25,2026-04-01,2026-04-30,0.5327393075356416,0.11916716437641095,medio
176,616,2026-04,39.63,23.51,7.19,45.75,26.25,7.83,2026-04-01,2026-04-30,0.38981670061099793,-0.4177545537689902,medio
177,621,2026-04,171.49,74.73,18.57,175.25,65.92,21.33,2026-04-01,2026-04-30,0.8643584521384928,1.3649709229375067,alto
178,622,2026-04,171.49,74.73,18.57,175.25,65.92,21.33,2026-04-01,2026-04-30,0.8643584521384928,1.3649709229375067,alto
179,623,2026-04,161.18,66.51,11.39,160.5,60.67,16.0,2026-04-01,2026-04-30,0.7503054989816701,0.9365047139436707,alto
180,624,2026-04,214.37,95.94,15.31,200.17,95.5,21.67,2026-04-01,2026-04-30,0.8879837067209776,1.4537246376576585,alto
181,625,2026-04,140.15,58.04,9.04,140.42,51.17,13.08,2026-04-01,2026-04-30,0.6789205702647657,0.6683307742073497,alto
182,626,2026-04,49.39,2.27,10.57,45.33,6.75,12.25,2026-04-01,2026-04-30,0.26435845213849285,-0.8890673836622099,baixo
183,627,2026-04,163.86,52.17,10.99,143.17,46.08,14.75,2026-04-01,2026-04-30,0.6984725050916497,0.741782124320579,alto
184,628,2026-04,49.58,26.14,3.76,50.92,28.67,3.33,2026-04-01,2026-04-30,0.3431771894093686,-0.5929666285182554,baixo
185,629,2026-04,155.08,71.72,14.86,153.67,66.92,16.33,2026-04-01,2026-04-30,0.7953156822810591,1.1055958428501667,alto
186,630,2026-04,142.83,59.31,12.47,144.58,54.67,15.08,2026-04-01,2026-04-30,0.7230142566191446,0.8339788710772885,alto
187,634,2026-04,128.49,50.36,10.09,135.5,49.5,12.08,2026-04-01,2026-04-30,0.6414460285132383,0.5275490198236609,alto
188,635,2026-04,128.49,50.36,8.13,135.5,49.5,10.17,2026-04-01,2026-04-30,0.6170061099796333,0.4357348321821244,medio
189,636,2026-04,197.6,48.62,28.6,189.25,57.42,39.0,2026-04-01,2026-04-30,0.8212830957230144,1.2031484172192994,alto
190,638,2026-04,175.49,52.02,18.95,158.5,58.17,29.25,2026-04-01,2026-04-30,0.805804480651731,1.1449994317129921,alto
191,639,2026-04,184.53,55.58,20.5,152.5,55.83,30.75,2026-04-01,2026-04-30,0.8317718940936865,1.2425520060821253,alto
192,645,2026-04,78.1,3.49,6.32,74.75,14.67,5.42,2026-04-01,2026-04-30,0.23839103869653766,-0.9866199580313423,baixo
193,650,2026-04,101.29,45.25,14.74,91.75,48.0,19.83,2026-04-01,2026-04-30,0.6437881873727087,0.5363478794726413,alto
194,651,2026-04,78.83,27.1,14.41,70.08,31.0,19.75,2026-04-01,2026-04-30,0.55010183299389,0.184393493513419,medio
195,652,2026-04,78.83,27.1,13.27,70.08,31.0,16.92,2026-04-01,2026-04-30,0.5348268839103869,0.1270096262374585,medio
196,653,2026-04,79.63,23.48,12.34,70.5,32.92,17.75,2026-04-01,2026-04-30,0.5086558044806517,0.02869193363798024,medio
197,663,2026-04,62.17,37.15,7.89,67.42,32.83,9.17,2026-04-01,2026-04-30,0.48859470468431776,-0.04667221205111399,medio
198,665,2026-04,129.15,76.13,15.11,131.5,74.92,18.17,2026-04-01,2026-04-30,0.7856415478615071,1.069252726908725,alto
199,669,2026-04,105.28,54.13,15.28,89.83,62.17,21.67,2026-04-01,2026-04-30,0.7047861507128309,0.765500789461309,alto
200,67,2026-04,21.38,9.32,10.4,23.0,9.67,11.0,2026-04-01,2026-04-30,0.35916496945010185,-0.5329048474360835,baixo
201,678,2026-04,106.88,33.08,13.22,89.42,39.08,21.5,2026-04-01,2026-04-30,0.589714867617108,0.3332089893157426,medio
202,679,2026-04,94.81,50.84,5.57,95.08,44.42,4.0,2026-04-01,2026-04-30,0.5290224032586558,0.10520375667259381,medio
203,68,2026-04,10.56,6.43,5.23,11.25,6.83,6.92,2026-04-01,2026-04-30,0.18920570264765785,-1.171396010659934,baixo
204,687,2026-04,71.56,48.07,11.81,64.0,49.25,15.25,2026-04-01,2026-04-30,0.589918533604888,0.33397410754608853,medio
205,688,2026-04,71.56,48.07,9.01,64.0,49.25,11.75,2026-04-01,2026-04-30,0.5569246435845214,0.21002495423001463,medio
206,691,2026-04,125.8,18.4,12.97,121.58,26.75,9.5,2026-04-01,2026-04-30,0.5437881873727088,0.160674828372689,medio
207,692,2026-04,141.49,23.22,6.75,129.75,28.83,7.5,2026-04-01,2026-04-30,0.48156822810590627,-0.073068790998056,medio
208,693,2026-04,125.8,18.4,5.23,121.58,26.75,5.5,2026-04-01,2026-04-30,0.4179226069246436,-0.31216823798122323,medio
209,696,2026-04,62.17,37.15,10.07,67.42,32.83,11.08,2026-04-01,2026-04-30,0.5148676171079429,0.05202803966353724,medio
210,70,2026-04,75.96,38.96,13.9,76.42,37.83,13.58,2026-04-01,2026-04-30,0.5836048879837068,0.3102554424053586,medio
211,711,2026-04,179.57,78.73,14.25,166.5,75.08,16.08,2026-04-01,2026-04-30,0.8287169042769857,1.231075232626933,alto
212,712,2026-04,43.92,13.99,8.66,39.25,23.5,14.83,2026-04-01,2026-04-30,0.39114052953156825,-0.41278128527174013,medio
213,721,2026-04,65.88,21.74,15.77,59.33,29.08,21.83,2026-04-01,2026-04-30,0.5326883910386966,0.11897588481882447,medio
214,73,2026-04,75.96,38.96,13.9,76.42,37.83,13.58,2026-04-01,2026-04-30,0.5836048879837068,0.3102554424053586,medio
215,731,2026-04,34.33,12.89,10.4,32.5,16.08,10.67,2026-04-01,2026-04-30,0.40071283095723015,-0.3768207284454718,medio
216,737,2026-04,92.83,53.04,17.06,77.92,64.42,25.92,2026-04-01,2026-04-30,0.7126272912423626,0.7949578413296357,alto
217,741,2026-04,10.56,6.43,5.65,11.25,6.83,7.0,2026-04-01,2026-04-30,0.1989816700610998,-1.1346703356033194,baixo
218,743,2026-04,10.56,6.43,5.65,11.25,6.83,7.0,2026-04-01,2026-04-30,0.1989816700610998,-1.1346703356033194,baixo
219,745,2026-04,67.18,20.72,14.14,59.5,31.42,22.25,2026-04-01,2026-04-30,0.504989816700611,0.014919805491749993,medio
220,746,2026-04,67.18,20.72,15.41,59.5,31.42,23.0,2026-04-01,2026-04-30,0.525152749490835,0.0906665102960172,medio
221,753,2026-04,52.7,38.3,17.27,45.67,42.08,17.83,2026-04-01,2026-04-30,0.6058044806517311,0.39365332951308685,medio
222,754,2026-04,30.98,11.25,13.08,30.0,10.83,13.33,2026-04-01,2026-04-30,0.4214867617107943,-0.2987786689501659,medio
223,756,2026-04,52.7,38.3,17.13,45.67,42.08,17.83,2026-04-01,2026-04-30,0.6030549898167006,0.38332423340341415,medio
224,757,2026-04,53.81,39.55,17.43,47.17,42.67,18.0,2026-04-01,2026-04-30,0.6132382892057027,0.42158014492072116,medio
225,759,2026-04,52.7,38.3,17.13,45.67,42.08,17.58,2026-04-01,2026-04-30,0.6030549898167006,0.38332423340341415,medio
226,764,2026-04,10.56,6.43,5.23,11.25,6.83,6.92,2026-04-01,2026-04-30,0.18920570264765785,-1.171396010659934,baixo
227,765,2026-04,21.38,9.32,8.87,23.0,9.67,10.5,2026-04-01,2026-04-30,0.34205702647657843,-0.5971747787851589,baixo
