,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
318,90,2026-04,59.68,31.02,7.47,71.33,29.5,7.5,2026-04-01,2026-04-30,0.4445010183299389,-0.21232030892105266,medio
319,900,2026-04,86.53,6.13,9.62,83.75,18.92,7.5,2026-04-01,2026-04-30,0.3529531568228106,-0.5562409534616407,baixo
320,901,2026-04,33.46,15.95,6.42,37.42,20.67,8.25,2026-04-01,2026-04-30,0.3422606924643585,-0.5964096605548128,baixo
321,905,2026-04,59.32,30.29,8.28,61.67,32.58,7.08,2026-04-01,2026-04-30,0.4606924643584521,-0.15149340960853483,medio
322,906,2026-04,65.46,33.0,9.45,66.08,30.83,8.83,2026-04-01,2026-04-30,0.4964358452138493,-0.017215160182787813,medio
323,908,2026-04,99.07,50.26,13.95,99.92,58.25,19.75,2026-04-01,2026-04-30,0.655295315682281,0.5795770594871982,alto
324,910,2026-04,66.87,32.2,9.56,67.83,33.25,10.33,2026-04-01,2026-04-30,0.49266802443991853,-0.03136984744419145,medio
325,913,2026-04,39.63,23.51,5.56,45.75,26.25,7.0,2026-04-01,2026-04-30,0.3556008146639511,-0.546294416467141,baixo
326,915,2026-04,33.46,15.95,5.8,37.42,20.67,6.33,2026-04-01,2026-04-30,0.32881873727087574,-0.646907463757658,baixo
327,917,2026-04,138.51,60.57,18.29,129.08,65.42,28.58,2026-04-01,2026-04-30,0.7970468431771893,1.1120993478081085,alto
328,918,2026-04,114.28,51.8,14.34,111.33,62.33,16.17,2026-04-01,2026-04-30,0.6895112016293279,0.7081169221853489,alto
329,919,2026-04,81.78,62.83,16.77,80.33,61.0,19.08,2026-04-01,2026-04-30,0.7393075356415479,0.8951883295049795,alto
330,920,2026-04,78.28,60.99,9.85,74.17,60.33,13.17,2026-04-01,2026-04-30,0.6370672097759674,0.511098977871219,alto
331,921,2026-04,5.95,3.16,2.18,6.17,0.67,1.0,2026-04-01,2026-04-30,0.03085539714867617,-1.7662754347540548,baixo
332,922,2026-04,5.95,3.16,1.92,6.17,0.67,0.75,2026-04-01,2026-04-30,0.026883910386965377,-1.7811952402458044,baixo
333,925,2026-04,5.95,3.16,2.18,6.17,0.67,1.67,2026-04-01,2026-04-30,0.03085539714867617,-1.7662754347540548,baixo
334,926,2026-04,64.36,47.61,14.38,57.33,50.67,15.17,2026-04-01,2026-04-30,0.6083503054989816,0.40321730739241357,medio
335,928,2026-04,104.85,51.55,16.18,104.58,59.58,17.42,2026-04-01,2026-04-30,0.7038696537678207,0.7620577574247515,alto
336,932,2026-04,48.68,5.28,11.01,49.17,9.17,7.0,2026-04-01,2026-04-30,0.31527494908350306,-0.6977878260756758,baixo
337,940,2026-04,86.65,42.79,14.17,90.58,49.08,15.25,2026-04-01,2026-04-30,0.615071283095723,0.42846620899383625,medio
338,946,2026-04,101.93,79.5,17.45,110.0,82.17,24.42,2026-04-01,2026-04-30,0.7996945010183298,1.1220458848026083,alto
339,954,2026-04,47.94,5.33,12.47,51.33,12.08,7.67,2026-04-01,2026-04-30,0.32830957230142566,-0.6488202593335232,baixo
340,961,2026-04,96.82,10.62,7.0,99.08,22.83,8.08,2026-04-01,2026-04-30,0.38696537678207743,-0.42846620899383586,medio
341,975,2026-04,94.11,44.6,14.91,96.75,49.75,18.17,2026-04-01,2026-04-30,0.6316700610997963,0.4908233447670462,medio
342,979,2026-04,106.7,60.48,17.25,115.17,58.17,24.33,2026-04-01,2026-04-30,0.7581466395112016,0.9659617658119969,alto
343,987,2026-04,48.68,5.28,11.01,49.17,9.17,7.0,2026-04-01,2026-04-30,0.31527494908350306,-0.6977878260756758,baixo
344,990,2026-04,86.53,6.13,7.97,83.75,18.92,6.33,2026-04-01,2026-04-30,0.3324847250509165,-0.6331353356114274,baixo
345,ESP01,2026-04,59.68,31.02,7.64,71.33,29.5,8.08,2026-04-01,2026-04-30,0.45030549898167005,-0.19051443935618775,medio
346,LECD126,2026-04,23.12,4.53,3.63,24.67,6.83,2.75,2026-04-01,2026-04-30,0.13533604887983708,-1.373769782586487,baixo
347,LECD127,2026-04,113.3,26.0,4.05,134.33,22.92,2.75,2026-04-01,2026-04-30,0.4132382892057026,-0.3297659572791846,medio
348,LECD128,2026-04,163.34,40.35,4.24,163.33,37.92,2.83,2026-04-01,2026-04-30,0.5229633401221996,0.08244148931979627,medio
349,LECD129,2026-04,161.31,28.78,7.51,149.92,30.08,5.17,2026-04-01,2026-04-30,0.5415478615071283,0.1522585278388812,medio
350,LECD130,2026-04,163.34,40.35,4.24,163.33,37.92,2.83,2026-04-01,2026-04-30,0.5229633401221996,0.08244148931979627,medio
351,LECD131,2026-04,113.93,32.23,4.44,117.17,30.42,3.08,2026-04-01,2026-04-30,0.44979633401221997,-0.19242723493205302,medio
352,LECD132,2026-04,199.23,51.72,14.7,185.58,47.58,16.75,2026-04-01,2026-04-30,0.7717922606924643,1.0172246872451878,alto
353,LECD133,2026-04,143.43,35.47,4.37,144.17,34.33,3.42,2026-04-01,2026-04-30,0.4910386965376782,-0.03749079328696063,medio
354,LECD134,2026-04,151.55,32.35,5.31,148.58,32.67,3.33,2026-04-01,2026-04-30,0.4964358452138493,-0.017215160182787813,medio
355,LECD135,2026-04,48.05,6.62,3.44,57.17,10.42,2.5,2026-04-01,2026-04-30,0.20885947046843178,-1.0975621014315318,baixo
356,LECD136,2026-04,171.82,40.12,6.25,168.58,38.67,4.5,2026-04-01,2026-04-30,0.5710794297352342,0.26320067123907076,medio
357,LECD137,2026-04,156.96,25.96,5.66,168.0,28.5,3.83,2026-04-01,2026-04-30,0.484826883910387,-0.06082689931251763,medio
358,LECD138,2026-04,51.78,4.55,3.4,53.58,5.67,2.42,2026-04-01,2026-04-30,0.1590631364562118,-1.284633508751162,baixo
359,LECD139,2026-04,159.82,32.71,7.36,156.58,33.92,5.75,2026-04-01,2026-04-30,0.5471486761710794,0.17329927917339993,medio
360,LECD140,2026-04,79.59,26.49,13.66,68.42,34.42,19.17,2026-04-01,2026-04-30,0.5349287169042769,0.12739218535263147,medio
361,LECD141,2026-04,79.59,26.49,15.12,68.42,34.42,19.58,2026-04-01,2026-04-30,0.5563136456211812,0.207729599538976,medio
362,LECD142,2026-04,50.5,18.04,3.52,48.0,26.0,5.17,2026-04-01,2026-04-30,0.31079429735234215,-0.7146204271432909,baixo
363,LECD143,2026-04,25.11,25.82,2.45,27.08,33.17,2.83,2026-04-01,2026-04-30,0.27535641547861506,-0.8477509992235186,baixo
364,LECD144,2026-04,18.52,7.31,6.01,19.08,9.5,8.25,2026-04-01,2026-04-30,0.24857433808553972,-0.9483640465140353,baixo
365,LECD145,2026-04,18.52,7.31,6.01,19.08,9.5,8.25,2026-04-01,2026-04-30,0.24857433808553972,-0.9483640465140353,baixo
366,LECD146,2026-04,12.58,4.7,5.46,10.33,7.0,8.0,2026-04-01,2026-04-30,0.14765784114052954,-1.3274801296505456,baixo
367,LECD147,2026-04,129.15,76.13,14.81,131.5,74.92,14.42,2026-04-01,2026-04-30,0.7825865580448065,1.057775953453533,alto
368,LECD148,2026-04,101.23,53.28,14.75,85.17,60.58,20.33,2026-04-01,2026-04-30,0.6924643584521385,0.7192111365253679,alto
369,SN007,2026-04,56.78,10.61,4.28,73.33,13.75,2.58,2026-04-01,2026-04-30,0.29256619144602847,-0.7830985087592702,baixo
370,SN104,2026-04,168.56,40.28,6.31,158.17,36.92,4.33,2026-04-01,2026-04-30,0.5682790224032587,0.2526802955718116,medio
371,SN133,2026-04,67.11,24.33,4.06,69.5,25.58,3.17,2026-04-01,2026-04-30,0.3608961303462322,-0.5264013424781414,baixo
372,SN209,2026-04,122.01,48.24,3.2,129.5,48.67,2.25,2026-04-01,2026-04-30,0.47275967413441955,-0.10616015446052622,medio
373,SN232,2026-04,177.03,49.94,6.93,162.0,47.33,11.0,2026-04-01,2026-04-30,0.6268329938900203,0.4726517867963255,medio
374,SN238,2026-04,169.86,45.51,16.25,154.58,45.25,18.42,2026-04-01,2026-04-30,0.7287678207739308,0.8555934610845668,alto
375,SN265,2026-04,187.75,85.79,16.4,193.5,82.75,21.58,2026-04-01,2026-04-30,0.87550916496945,1.4068611460489573,alto
376,SN298,2026-04,220.52,98.54,15.55,204.33,95.67,20.25,2026-04-01,2026-04-30,0.9015784114052954,1.5047962795332632,alto
377,SN302,2026-04,150.29,34.15,7.54,145.83,39.58,6.75,2026-04-01,2026-04-30,0.5536150712830957,0.19759178298688979,medio
378,SN312,2026-04,171.92,73.1,9.31,171.0,67.42,7.17,2026-04-01,2026-04-30,0.7474032586558046,0.9256017791612385,alto
379,SN324,2026-04,153.26,56.53,8.71,161.25,54.83,9.5,2026-04-01,2026-04-30,0.6740325865580448,0.6499679366790425,alto
380,SN328,2026-04,153.26,56.53,9.96,161.25,54.83,10.25,2026-04-01,2026-04-30,0.6862525458248472,0.6958750304998106,alto
381,SN353,2026-04,241.19,71.35,25.84,233.33,78.42,35.83,2026-04-01,2026-04-30,0.9235234215885947,1.5872377688530592,alto
382,SN355,2026-04,132.68,58.51,18.77,133.92,60.08,21.5,2026-04-01,2026-04-30,0.7902240325865582,1.0864678870915137,alto
383,SN363,2026-04,216.09,70.74,17.22,218.58,75.67,22.58,2026-04-01,2026-04-30,0.8819755600814664,1.4311536498624475,alto
384,SN368,2026-04,236.81,64.73,19.37,242.67,63.75,19.58,2026-04-01,2026-04-30,0.9007128309572301,1.5015445270542918,alto
385,SN383,2026-04,196.32,64.61,19.8,173.25,69.58,24.42,2026-04-01,2026-04-30,0.8740835030549898,1.4015053184365347,alto
386,SN388,2026-04,236.16,114.19,27.59,231.17,108.83,31.58,2026-04-01,2026-04-30,0.9939918533604888,1.8519686765528223,alto
387,SN393,2026-04,217.83,109.27,21.65,212.42,104.83,26.17,2026-04-01,2026-04-30,0.9702647657841139,1.7628324027174969,alto
388,SN397,2026-04,225.76,112.22,26.29,224.17,107.67,28.33,2026-04-01,2026-04-30,0.9862525458248472,1.822894183799669,alto
389,SN399,2026-04,212.42,106.87,17.47,208.58,101.17,17.75,2026-04-01,2026-04-30,0.9355906313645621,1.6325710240010678,alto
390,SN415,2026-04,164.87,32.44,7.26,155.0,34.25,6.0,2026-04-01,2026-04-30,0.55030549898167,0.18515861174376494,medio
391,SN422,2026-04,173.88,45.1,12.71,176.25,45.75,15.42,2026-04-01,2026-04-30,0.6883401221995926,0.7037174923608586,alto
392,SN457,2026-04,207.66,62.99,7.81,192.67,54.17,7.83,2026-04-01,2026-04-30,0.7343177189409369,0.876442932861499,alto
393,SN474,2026-04,212.09,83.61,6.78,207.58,72.92,5.17,2026-04-01,2026-04-30,0.7496945010183299,0.934209359252632,alto
394,SN483,2026-04,210.61,67.19,15.59,212.5,62.42,12.58,2026-04-01,2026-04-30,0.8521384928716904,1.3190638291167385,alto
395,SN497,2026-04,111.02,50.94,8.09,120.08,49.92,6.25,2026-04-01,2026-04-30,0.6038696537678208,0.38638470632479877,medio
396,SN550,2026-04,123.92,15.23,5.31,117.75,21.75,6.33,2026-04-01,2026-04-30,0.4034623217922607,-0.3664916323357989,medio
397,SN554,2026-04,124.7,16.41,7.11,124.58,21.17,5.75,2026-04-01,2026-04-30,0.4475560081466395,-0.20084353546586065,medio
398,SN565,2026-04,123.92,15.23,6.94,117.75,21.75,7.42,2026-04-01,2026-04-30,0.43706720977596747,-0.24024712432868633,medio
399,SN600,2026-04,167.08,35.95,15.37,150.58,39.08,17.25,2026-04-01,2026-04-30,0.6815682281059063,0.6782773112018498,alto
400,SN624,2026-04,214.37,95.94,16.44,200.17,95.5,22.5,2026-04-01,2026-04-30,0.9069246435845214,1.5248806330798492,alto
401,SN629,2026-04,183.69,75.1,17.16,172.0,69.75,23.25,2026-04-01,2026-04-30,0.8626272912423625,1.3584674179795644,alto
402,SN634,2026-04,128.49,50.36,10.08,135.5,49.5,12.08,2026-04-01,2026-04-30,0.6408350305498982,0.5252536651326226,alto
403,SN636,2026-04,197.6,48.62,28.6,189.25,57.42,37.0,2026-04-01,2026-04-30,0.8212830957230144,1.2031484172192994,alto
404,SN639,2026-04,184.53,55.58,20.5,152.5,55.83,30.75,2026-04-01,2026-04-30,0.8317718940936865,1.2425520060821253,alto
405,SN696,2026-04,62.17,37.15,10.13,67.42,32.83,11.17,2026-04-01,2026-04-30,0.5173116089613035,0.061209458427691016,medio
406,SN731,2026-04,34.33,12.89,9.63,32.5,16.08,10.17,2026-04-01,2026-04-30,0.39002036659877803,-0.41698943553864387,medio
407,SN779,2026-04,58.23,40.5,4.28,57.0,53.25,6.92,2026-04-01,2026-04-30,0.4233197556008147,-0.2918926048770506,medio
408,SN790,2026-04,79.67,48.23,20.7,67.58,57.42,28.17,2026-04-01,2026-04-30,0.6938900203665987,0.7245669641377908,alto
409,SN794,2026-04,67.18,20.72,15.41,59.5,31.42,22.92,2026-04-01,2026-04-30,0.525152749490835,0.0906665102960172,medio
410,SN803,2026-04,59.6,11.04,14.04,57.08,16.67,11.75,2026-04-01,2026-04-30,0.45529531568228104,-0.17176904271270743,medio
411,SN810,2026-04,47.94,5.33,12.94,51.33,12.08,8.17,2026-04-01,2026-04-30,0.33533604887983703,-0.6224236803865816,baixo
412,SN821,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
413,SN825,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
414,SN840,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
415,SN846,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
416,SN848,2026-04,9.49,4.77,3.25,11.75,2.83,2.08,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
417,SN853,2026-04,24.53,10.88,11.41,24.5,10.25,11.75,2026-04-01,2026-04-30,0.390224032586558,-0.4162243173082979,medio
418,SN857,2026-04,13.14,7.42,4.4,13.25,3.42,3.42,2026-04-01,2026-04-30,0.2129327902240326,-1.0822597368246092,baixo
419,SN861,2026-04,98.59,9.42,14.99,96.92,19.92,10.67,2026-04-01,2026-04-30,0.49857433808553964,-0.009181418764153777,medio
420,SN867,2026-04,25.23,6.91,3.62,28.58,7.33,3.25,2026-04-01,2026-04-30,0.20885947046843178,-1.0975621014315318,baixo
421,SN878,2026-04,98.59,9.42,6.61,96.92,19.92,5.83,2026-04-01,2026-04-30,0.3782077393075356,-0.46136629289872,medio
422,SN880,2026-04,86.53,6.13,5.88,83.75,18.92,6.58,2026-04-01,2026-04-30,0.2845213849287169,-0.8133206788579423,baixo
423,SN884,2026-04,13.14,7.42,3.34,13.25,3.42,3.33,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
424,SN885,2026-04,9.08,8.26,2.76,8.5,1.75,2.67,2026-04-01,2026-04-30,0.15025458248472506,-1.3177248722136325,baixo
425,SN893,2026-04,16.98,6.69,7.37,18.75,4.0,4.33,2026-04-01,2026-04-30,0.25972505091649695,-0.9064738234025844,baixo
426,SN895,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
427,SN897,2026-04,9.08,8.26,5.17,8.5,1.75,3.83,2026-04-01,2026-04-30,0.20829938900203665,-1.0996661765649838,baixo
428,SN898,2026-04,17.61,8.9,8.39,20.25,4.58,5.67,2026-04-01,2026-04-30,0.32454175152749487,-0.6629749465949268,baixo
429,SN908,2026-04,99.07,50.26,14.38,99.92,58.25,20.25,2026-04-01,2026-04-30,0.665376782077393,0.6174504118893317,alto
430,SN919,2026-04,78.28,60.99,19.0,74.17,60.33,21.83,2026-04-01,2026-04-30,0.7482688391038697,0.9288535316402092,alto
431,SN954,2026-04,47.94,5.33,7.7,51.33,12.08,6.08,2026-04-01,2026-04-30,0.26537678207739307,-0.8852417925104792,baixo
432,SP265,2026-04,139.34,75.3,14.68,137.75,73.25,20.0,2026-04-01,2026-04-30,0.7881873727087576,1.0788167047880517,alto
433,SP324,2026-04,5.95,3.16,2.42,6.17,0.67,1.08,2026-04-01,2026-04-30,0.03543788187372709,-1.7490602745712667,baixo
434,SP328,2026-04,5.95,3.16,2.51,6.17,0.67,2.08,2026-04-01,2026-04-30,0.03910386965376782,-1.7352881464250363,baixo
435,SP329,2026-04,5.95,3.16,2.18,6.17,0.67,2.08,2026-04-01,2026-04-30,0.03085539714867617,-1.7662754347540548,baixo
436,SP343,2026-04,276.71,83.57,10.65,267.58,83.08,10.08,2026-04-01,2026-04-30,0.8325356415478615,1.245421199445923,alto
437,SP389,2026-04,10.56,6.43,6.07,11.25,6.83,7.58,2026-04-01,2026-04-30,0.209979633401222,-1.0933539511646282,baixo
438,SP404,2026-04,118.36,28.43,5.54,114.67,24.83,3.75,2026-04-01,2026-04-30,0.45570264765784113,-0.17023880625201515,medio
439,SP485,2026-04,99.25,46.83,3.98,108.5,45.58,5.67,2026-04-01,2026-04-30,0.474745417515275,-0.09870025171465123,medio
440,SP635,2026-04,128.49,50.36,7.47,135.5,49.5,8.5,2026-04-01,2026-04-30,0.5995926680244399,0.3703172234875299,medio
441,SP759,2026-04,30.98,11.25,13.21,30.0,10.83,13.5,2026-04-01,2026-04-30,0.4227087576374745,-0.29418795956808924,medio
442,SP766,2026-04,70.88,18.69,10.69,61.42,25.58,20.33,2026-04-01,2026-04-30,0.4673116089613034,-0.12662706712228552,medio
443,SP795,2026-04,17.19,23.25,2.68,18.58,30.33,3.0,2026-04-01,2026-04-30,0.26089613034623216,-0.9020743935780943,baixo
444,SP801,2026-04,10.56,6.43,5.65,11.25,6.83,7.0,2026-04-01,2026-04-30,0.1989816700610998,-1.1346703356033194,baixo
445,SP803,2026-04,10.56,6.43,6.07,11.25,6.83,7.58,2026-04-01,2026-04-30,0.209979633401222,-1.0933539511646282,baixo
446,SP805,2026-04,48.32,0.0,2.5,47.75,10.75,1.25,2026-04-01,2026-04-30,0.09027494908350306,-1.5430521910505695,baixo
447,SP810,2026-04,47.94,5.33,7.7,51.33,12.08,5.08,2026-04-01,2026-04-30,0.26537678207739307,-0.8852417925104792,baixo
448,SP864,2026-04,14.02,6.41,7.16,15.58,6.5,6.92,2026-04-01,2026-04-30,0.23380855397148675,-1.0038351182141303,baixo
449,SP918,2026-04,10.56,6.43,6.07,11.25,6.83,7.67,2026-04-01,2026-04-30,0.209979633401222,-1.0933539511646282,baixo
450,SPA483,2026-04,154.72,47.54,7.43,164.0,43.25,5.25,2026-04-01,2026-04-30,0.5967413441955194,0.3596055682626842,medio
451,SPA550,2026-04,106.55,12.39,5.1,112.33,21.25,5.67,2026-04-01,2026-04-30,0.3775967413441955,-0.46366164758975825,medio
452,SPA613,2026-04,156.39,34.01,5.49,153.42,38.33,6.0,2026-04-01,2026-04-30,0.5128818737270876,0.04456813691766266,medio
453,SPB326,2026-04,5.95,3.16,2.18,6.17,0.67,1.67,2026-04-01,2026-04-30,0.03085539714867617,-1.7662754347540548,baixo
454,SPB483,2026-04,154.72,47.54,7.79,164.0,43.25,6.17,2026-04-01,2026-04-30,0.6083503054989816,0.40321730739241357,medio
455,SPB550,2026-04,69.79,4.8,3.41,68.58,12.58,3.33,2026-04-01,2026-04-30,0.2014256619144603,-1.1254889168391657,baixo
456,SR300,2026-04,211.47,105.56,17.89,202.33,103.75,17.58,2026-04-01,2026-04-30,0.9338594704684318,1.6260675190431255,alto
457,SR328,2026-04,127.65,50.05,10.91,135.67,49.33,10.92,2026-04-01,2026-04-30,0.6456211812627292,0.5432339435457568,alto
458,SR342,2026-04,130.44,56.81,10.92,131.83,52.67,9.83,2026-04-01,2026-04-30,0.6874236252545826,0.7002744603243014,alto
459,SR355,2026-04,153.02,61.6,15.5,161.08,63.83,16.0,2026-04-01,2026-04-30,0.7844704684317719,1.064853297084235,alto
460,SR362,2026-04,142.5,87.45,15.59,135.5,83.83,14.58,2026-04-01,2026-04-30,0.825,1.2171118249231159,alto
461,SR378,2026-04,167.52,99.72,16.4,167.33,97.33,15.25,2026-04-01,2026-04-30,0.8680244399185335,1.3787430510837368,alto
462,SR384,2026-04,201.71,103.71,18.78,201.17,98.0,23.0,2026-04-01,2026-04-30,0.929938900203666,1.6113389931089626,alto
463,SR386,2026-04,185.6,100.07,16.65,183.0,95.67,16.08,2026-04-01,2026-04-30,0.8913951120162933,1.4665403680159563,alto
464,SR388,2026-04,217.88,107.4,27.28,205.58,103.33,28.0,2026-04-01,2026-04-30,0.9761201629327901,1.7848295518399486,alto
465,SR393,2026-04,196.03,102.48,19.38,186.83,99.33,22.17,2026-04-01,2026-04-30,0.9242871690427699,1.5901069622168573,alto
466,SR397,2026-04,209.2,105.44,25.37,198.58,102.17,24.58,2026-04-01,2026-04-30,0.9501527494908351,1.6872769774708165,alto
467,SR399,2026-04,212.42,106.87,17.47,208.58,101.17,17.75,2026-04-01,2026-04-30,0.9355906313645621,1.6325710240010678,alto
468,SV363,2026-04,199.44,64.43,16.43,193.0,70.17,22.5,2026-04-01,2026-04-30,0.8485234215885946,1.3054829805280943,alto
469,SV384,2026-04,170.08,92.25,17.47,171.42,85.08,18.0,2026-04-01,2026-04-30,0.8800407331975559,1.423885026674159,alto
470,SV391,2026-04,198.56,66.84,20.8,177.08,73.25,25.75,2026-04-01,2026-04-30,0.8863543788187372,1.4476036918148893,alto
471,SV474,2026-04,168.43,60.64,6.39,181.08,52.92,4.42,2026-04-01,2026-04-30,0.6601832993890021,0.5979398970155057,alto
472,SV483,2026-04,170.32,52.09,13.99,175.33,46.33,11.5,2026-04-01,2026-04-30,0.7369653767820774,0.8863894698559988,alto
473,SV606,2026-04,171.36,47.84,12.58,152.42,45.33,15.67,2026-04-01,2026-04-30,0.6933808553971487,0.7226541685619255,alto
474,SV624,2026-04,186.62,87.51,16.35,173.75,87.0,23.5,2026-04-01,2026-04-30,0.8772912423625254,1.4135559305644863,alto
475,SV669,2026-04,105.28,54.13,15.58,89.83,62.17,25.0,2026-04-01,2026-04-30,0.7115071283095723,0.7907496910627316,alto
476,SV692,2026-04,141.49,23.22,6.85,129.75,28.83,7.92,2026-04-01,2026-04-30,0.48279022403258653,-0.06847808161597911,medio
477,SV777,2026-04,60.66,45.1,7.82,55.83,54.58,10.08,2026-04-01,2026-04-30,0.5086558044806517,0.02869193363798024,medio
478,SV790,2026-04,79.67,48.23,20.55,67.58,57.42,27.17,2026-04-01,2026-04-30,0.6923625254582484,0.7188285774101946,alto
479,SV831,2026-04,34.99,2.45,6.26,36.0,8.17,3.75,2026-04-01,2026-04-30,0.18034623217922607,-1.204678653679991,baixo
480,SV853,2026-04,24.53,10.88,12.06,24.5,10.25,12.17,2026-04-01,2026-04-30,0.3966395112016293,-0.39212309305239457,medio
481,SV863,2026-04,86.53,6.13,5.88,83.75,18.92,6.58,2026-04-01,2026-04-30,0.2845213849287169,-0.8133206788579423,baixo
482,SV866,2026-04,13.14,7.42,3.34,13.25,3.42,3.17,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
483,SV878,2026-04,98.59,9.42,12.98,96.92,19.92,8.42,2026-04-01,2026-04-30,0.4738289205702647,-0.10214328375120921,medio
484,SV899,2026-04,66.59,6.11,4.58,64.58,15.25,4.58,2026-04-01,2026-04-30,0.235132382892057,-0.9988618497168804,baixo
485,SV908,2026-04,107.26,54.69,14.53,110.42,61.5,20.92,2026-04-01,2026-04-30,0.70020366598778,0.7482856292785212,alto
486,SV917,2026-04,138.51,60.57,18.29,129.08,65.42,25.0,2026-04-01,2026-04-30,0.7970468431771893,1.1120993478081085,alto
487,SV921,2026-04,5.95,3.16,2.1,6.17,0.67,1.0,2026-04-01,2026-04-30,0.029327902240325866,-1.7720138214816508,baixo
488,SV922,2026-04,5.95,3.16,1.83,6.17,0.67,0.83,2026-04-01,2026-04-30,0.02566191446028513,-1.7857859496278812,baixo
489,SVB665,2026-04,136.93,81.68,17.73,136.0,79.0,21.5,2026-04-01,2026-04-30,0.8360488798370671,1.2586194889193933,alto
490,SVB901,2026-04,33.46,15.95,7.07,37.42,20.67,6.92,2026-04-01,2026-04-30,0.3532586558044806,-0.5550932761161216,baixo
