"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;22;20;17;12;16;12;17;17;9;142;;
"2017";11;2;4;10;12;4;11;14;16;9;15;11;119;-23;-16,2
"2018";10;12;7;8;18;14;20;18;8;19;12;9;155;36;30,25
"2019";15;9;13;9;10;14;16;18;10;18;11;15;158;3;1,94
"2020";12;7;5;3;1;4;11;7;14;13;14;10;101;-57;-36,08
"2021";8;12;5;7;3;5;9;8;4;7;13;6;87;-14;-13,86
"2022";14;9;5;5;9;4;5;4;3;8;10;10;86;-1;-1,15
"2023";6;10;9;6;9;3;5;5;6;10;6;7;82;-4;-4,65
"2024";12;6;8;10;8;13;10;19;12;4;9;10;121;39;47,56
"2025";14;6;5;6;7;2;2;5;4;6;2;1;60;-61;-50,41
"2026";5;1;5;;;;;;;;;;11;-49;-81,67
