"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;45;51;37;51;76;54;55;45;30;444;;
"2017";15;10;33;31;58;28;47;46;53;52;40;36;449;5;1,13
"2018";50;26;42;51;35;48;43;35;29;25;34;28;446;-3;-0,67
"2019";24;12;19;23;11;20;27;28;33;32;23;13;265;-181;-40,58
"2020";17;14;14;6;1;8;6;14;17;17;16;13;143;-122;-46,04
"2021";13;15;10;18;13;17;21;10;21;5;16;21;180;37;25,87
"2022";21;22;20;25;25;21;25;30;33;26;28;25;301;121;67,22
"2023";33;24;31;19;28;22;40;40;23;26;28;35;349;48;15,95
"2024";23;21;19;23;36;15;22;26;25;32;19;24;285;-64;-18,34
"2025";22;25;19;21;22;26;30;53;35;29;39;18;339;54;18,95
"2026";14;18;25;;;;;;;;;;57;-282;-83,19
