"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;5;11;10;10;12;9;9;6;8;80;;
"2017";3;1;0;2;4;9;5;6;7;8;5;5;55;-25;-31,25
"2018";2;3;2;4;5;4;12;9;6;4;4;4;59;4;7,27
"2019";7;6;6;6;6;8;7;3;2;4;5;7;67;8;13,56
"2020";7;2;2;0;1;1;0;1;3;1;3;1;22;-45;-67,16
"2021";1;1;2;2;1;2;7;5;5;1;4;5;36;14;63,64
"2022";6;2;6;5;4;9;2;3;2;6;3;8;56;20;55,56
"2023";3;4;6;6;12;4;2;6;5;3;1;4;56;0;0
"2024";7;4;5;4;6;4;6;1;7;1;4;3;52;-4;-7,14
"2025";2;2;2;4;5;15;12;4;9;9;17;8;89;37;71,15
"2026";5;7;10;;;;;;;;;;22;-67;-75,28
