"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;11;9;3;8;17;16;14;2;11;91;;
"2017";12;3;10;7;9;9;9;6;8;14;14;9;110;19;20,88
"2018";14;4;16;7;8;2;17;15;20;25;28;13;169;59;53,64
"2019";20;11;10;12;21;19;17;9;14;13;12;13;171;2;1,18
"2020";13;11;6;2;1;4;3;6;8;15;5;7;81;-90;-52,63
"2021";9;9;8;6;7;5;13;13;6;8;9;9;102;21;25,93
"2022";10;15;8;14;14;22;17;14;21;21;9;12;177;75;73,53
"2023";17;21;15;21;21;12;13;17;17;16;15;16;201;24;13,56
"2024";12;15;19;13;21;16;17;16;20;7;12;19;187;-14;-6,97
"2025";20;19;21;15;30;41;50;27;31;43;29;24;350;163;87,17
"2026";16;7;13;;;;;;;;;;36;-314;-89,71
