"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;4;5;6;5;2;8;9;1;4;44;;
"2017";4;1;5;9;7;4;4;5;6;4;3;2;54;10;22,73
"2018";7;3;11;7;8;5;3;4;5;2;6;0;61;7;12,96
"2019";4;7;4;4;1;9;6;5;3;2;4;6;55;-6;-9,84
"2020";2;7;4;2;0;3;4;3;4;4;0;3;36;-19;-34,55
"2021";2;2;2;3;3;1;4;3;3;3;1;4;31;-5;-13,89
"2022";3;4;10;3;5;11;9;11;6;9;10;5;86;55;177,42
"2023";9;4;9;8;5;9;5;11;10;5;7;7;89;3;3,49
"2024";8;6;8;7;13;5;4;9;10;7;8;10;95;6;6,74
"2025";2;5;6;5;15;3;17;17;6;14;10;9;109;14;14,74
"2026";4;1;13;;;;;;;;;;18;-91;-83,49
