"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;17;13;20;18;25;12;13;13;12;143;;
"2017";17;13;13;8;13;13;18;18;26;26;23;20;208;65;45,45
"2018";19;14;9;18;18;13;11;21;20;33;19;18;213;5;2,4
"2019";12;14;13;16;15;15;13;15;13;12;17;14;169;-44;-20,66
"2020";11;14;9;0;1;1;1;3;7;5;8;4;64;-105;-62,13
"2021";7;8;3;7;9;10;10;13;11;9;9;11;107;43;67,19
"2022";12;11;15;12;14;19;19;16;14;21;9;13;175;68;63,55
"2023";10;12;6;15;18;17;10;14;25;30;18;18;193;18;10,29
"2024";22;19;15;31;10;26;15;22;24;19;37;22;262;69;35,75
"2025";36;27;41;29;35;42;19;29;28;43;24;16;369;107;40,84
"2026";19;14;26;;;;;;;;;;59;-310;-84,01
