"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;23;28;28;21;23;29;24;18;17;211;;
"2017";29;11;12;17;22;16;16;22;16;25;16;11;213;2;0,95
"2018";12;10;18;19;25;16;7;9;19;15;14;12;176;-37;-17,37
"2019";24;13;17;12;18;15;10;20;18;16;13;11;187;11;6,25
"2020";15;28;6;3;2;1;3;5;7;9;11;3;93;-94;-50,27
"2021";4;8;4;3;6;1;4;7;8;3;21;19;88;-5;-5,38
"2022";14;22;29;25;15;26;29;25;23;33;19;19;279;191;217,05
"2023";20;13;18;30;19;24;22;20;23;17;15;17;238;-41;-14,7
"2024";11;13;14;4;10;5;3;10;15;16;14;14;129;-109;-45,8
"2025";15;11;16;14;12;12;13;18;14;10;10;8;153;24;18,6
"2026";14;5;11;;;;;;;;;;30;-123;-80,39
