"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;7;18;10;7;4;12;8;10;6;82;;
"2017";2;4;3;7;11;9;7;14;11;8;14;11;101;19;23,17
"2018";9;3;14;8;5;9;7;6;4;9;6;7;87;-14;-13,86
"2019";5;4;5;7;8;5;9;5;2;4;4;2;60;-27;-31,03
"2020";6;6;7;5;3;2;2;6;7;6;6;3;59;-1;-1,67
"2021";2;4;10;4;7;11;2;5;4;13;12;10;84;25;42,37
"2022";7;8;8;2;3;6;5;4;8;5;6;4;66;-18;-21,43
"2023";5;3;10;10;8;10;10;12;9;14;11;18;120;54;81,82
"2024";13;11;19;21;10;5;7;10;5;4;4;9;118;-2;-1,67
"2025";7;7;3;6;9;2;5;5;5;14;12;4;79;-39;-33,05
"2026";7;1;4;;;;;;;;;;12;-67;-84,81
