"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;9;15;13;13;11;12;10;14;6;103;;
"2017";9;1;5;6;2;9;10;11;7;9;7;13;89;-14;-13,59
"2018";10;8;11;12;10;9;5;6;14;6;17;14;122;33;37,08
"2019";11;11;13;11;23;9;12;11;4;12;14;11;142;20;16,39
"2020";17;16;6;2;2;6;8;6;14;12;15;11;115;-27;-19,01
"2021";6;10;14;9;20;14;6;22;14;2;13;17;147;32;27,83
"2022";10;11;7;8;13;24;14;2;18;13;6;6;132;-15;-10,2
"2023";2;3;3;4;2;0;4;3;4;6;9;3;43;-89;-67,42
"2024";6;9;6;9;10;7;9;12;5;11;5;5;94;51;118,6
"2025";8;7;9;13;8;7;9;6;5;8;8;8;96;2;2,13
"2026";6;3;8;;;;;;;;;;17;-79;-82,29
