"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;29;25;27;18;22;18;22;20;23;204;;
"2017";13;4;8;10;20;23;19;26;33;21;19;15;211;7;3,43
"2018";21;21;19;13;16;24;33;26;24;26;25;16;264;53;25,12
"2019";20;18;21;28;23;21;27;27;24;24;17;26;276;12;4,55
"2020";20;26;19;11;8;20;12;17;12;18;7;6;176;-100;-36,23
"2021";24;11;15;17;28;25;27;29;30;23;22;21;272;96;54,55
"2022";24;35;36;39;36;42;46;62;30;25;21;34;430;158;58,09
"2023";27;29;27;34;32;28;40;43;48;39;38;28;413;-17;-3,95
"2024";35;31;33;36;29;22;35;34;36;37;29;24;381;-32;-7,75
"2025";25;26;25;25;19;19;19;29;34;54;67;38;380;-1;-0,26
"2026";31;23;17;;;;;;;;;;71;-309;-81,32
