"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;17;12;11;14;17;18;18;11;12;130;;
"2017";5;1;8;24;23;12;11;18;15;17;16;11;161;31;23,85
"2018";17;14;17;18;18;17;12;10;13;10;12;16;174;13;8,07
"2019";17;9;6;9;18;8;19;9;8;19;8;11;141;-33;-18,97
"2020";11;6;8;1;2;0;4;9;7;7;4;3;62;-79;-56,03
"2021";5;9;7;7;12;11;9;15;13;9;11;6;114;52;83,87
"2022";13;11;11;10;20;16;10;12;15;14;10;6;148;34;29,82
"2023";4;7;14;12;17;16;11;17;9;14;10;13;144;-4;-2,7
"2024";10;10;6;10;6;5;8;8;7;9;13;9;101;-43;-29,86
"2025";11;17;5;16;18;19;16;20;14;26;20;7;189;88;87,13
"2026";13;5;11;;;;;;;;;;29;-160;-84,66
