"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;26;18;17;10;10;22;15;17;19;154;;
"2017";10;4;10;11;21;16;21;13;10;22;25;17;180;26;16,88
"2018";13;10;15;23;26;15;8;17;22;22;24;19;214;34;18,89
"2019";21;17;7;13;14;11;12;10;10;10;5;9;139;-75;-35,05
"2020";13;10;7;1;6;2;5;4;5;9;11;7;80;-59;-42,45
"2021";7;4;6;5;9;7;8;8;5;6;22;18;105;25;31,25
"2022";21;12;17;14;26;17;14;34;31;12;22;8;228;123;117,14
"2023";18;17;20;24;28;32;49;46;54;40;27;27;382;154;67,54
"2024";23;18;40;26;26;24;11;17;17;16;18;13;249;-133;-34,82
"2025";17;11;14;15;16;17;21;15;20;15;13;19;193;-56;-22,49
"2026";15;17;22;;;;;;;;;;54;-139;-72,02
