"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;41;47;51;37;56;61;27;39;32;391;;
"2017";23;9;24;28;27;29;18;23;21;14;12;21;249;-142;-36,32
"2018";23;18;13;19;12;13;21;41;31;28;28;30;277;28;11,24
"2019";27;15;16;15;15;25;17;17;25;15;21;23;231;-46;-16,61
"2020";29;14;4;0;0;3;2;6;10;5;7;10;90;-141;-61,04
"2021";5;13;8;15;7;14;24;26;17;15;20;23;187;97;107,78
"2022";16;20;12;12;13;15;35;18;41;23;26;21;252;65;34,76
"2023";38;23;30;21;26;21;12;24;25;33;25;13;291;39;15,48
"2024";19;14;17;14;14;11;13;17;19;14;24;21;197;-94;-32,3
"2025";40;23;15;18;26;15;20;23;18;18;14;14;244;47;23,86
"2026";27;23;14;;;;;;;;;;64;-180;-73,77
