"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;42;39;32;39;36;30;42;25;27;312;;
"2017";16;2;37;31;30;40;48;30;32;38;24;22;350;38;12,18
"2018";32;29;32;38;43;41;32;34;37;41;52;47;458;108;30,86
"2019";43;47;45;34;52;44;47;50;42;46;35;25;510;52;11,35
"2020";34;34;25;7;9;7;9;13;22;18;24;20;222;-288;-56,47
"2021";19;22;31;37;34;34;32;34;35;36;33;67;414;192;86,49
"2022";53;48;43;46;61;52;44;43;46;47;32;50;565;151;36,47
"2023";49;40;35;25;62;30;34;40;40;37;45;44;481;-84;-14,87
"2024";28;31;23;19;32;22;22;21;28;44;13;29;312;-169;-35,14
"2025";26;36;51;35;36;40;49;43;43;40;41;19;459;147;47,12
"2026";25;25;36;;;;;;;;;;86;-373;-81,26
