"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;13;14;13;15;19;10;8;16;16;124;;
"2017";13;1;3;12;11;18;7;11;12;12;8;17;125;1;0,81
"2018";8;7;12;17;14;14;12;22;22;11;17;9;165;40;32
"2019";16;16;14;3;9;5;7;12;13;9;11;5;120;-45;-27,27
"2020";8;3;9;2;1;1;4;2;3;6;4;4;47;-73;-60,83
"2021";2;3;2;3;2;8;3;3;1;3;4;2;36;-11;-23,4
"2022";4;9;5;5;7;11;11;9;4;4;5;4;78;42;116,67
"2023";7;4;4;3;10;2;6;5;4;3;6;4;58;-20;-25,64
"2024";4;13;9;9;4;3;10;7;5;7;5;5;81;23;39,66
"2025";6;5;2;9;8;5;6;3;8;9;7;9;77;-4;-4,94
"2026";8;4;8;;;;;;;;;;20;-57;-74,03
