"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;4;4;8;3;7;3;9;5;2;45;;
"2017";2;0;0;6;7;1;3;4;6;7;2;2;40;-5;-11,11
"2018";2;3;6;3;4;2;9;10;5;2;4;5;55;15;37,5
"2019";4;8;6;4;3;6;4;9;6;4;4;9;67;12;21,82
"2020";2;7;1;1;0;1;5;3;5;4;6;7;42;-25;-37,31
"2021";7;6;6;8;7;5;6;6;4;4;6;2;67;25;59,52
"2022";6;2;6;9;3;8;3;3;1;2;5;1;49;-18;-26,87
"2023";8;3;5;6;15;6;6;7;4;2;6;2;70;21;42,86
"2024";4;5;3;4;3;2;3;7;2;5;5;1;44;-26;-37,14
"2025";2;1;2;4;5;3;2;4;5;3;1;1;33;-11;-25
"2026";3;3;4;;;;;;;;;;10;-23;-69,7
