"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;19;15;16;13;16;17;19;13;13;141;;
"2017";12;3;19;12;16;16;23;27;22;32;28;31;241;100;70,92
"2018";30;17;15;20;18;19;16;21;25;16;12;18;227;-14;-5,81
"2019";17;17;12;17;20;10;8;17;17;15;12;10;172;-55;-24,23
"2020";5;5;8;6;4;3;7;10;5;10;9;5;77;-95;-55,23
"2021";5;8;13;4;10;7;10;7;6;6;12;17;105;28;36,36
"2022";15;35;25;22;15;15;13;31;36;33;21;33;294;189;180
"2023";24;19;17;21;19;32;39;40;28;31;32;27;329;35;11,9
"2024";16;17;21;21;25;11;20;20;20;18;12;10;211;-118;-35,87
"2025";7;9;7;10;17;15;12;15;17;19;28;9;165;-46;-21,8
"2026";12;12;11;;;;;;;;;;35;-130;-78,79
