"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;6;5;6;3;4;6;6;11;4;51;;
"2017";3;1;1;6;5;9;4;5;4;5;9;5;57;6;11,76
"2018";1;3;6;5;2;7;9;3;4;5;5;4;54;-3;-5,26
"2019";5;4;7;4;7;4;7;3;3;2;3;4;53;-1;-1,85
"2020";2;2;1;0;1;2;1;3;1;6;2;4;25;-28;-52,83
"2021";2;1;2;7;6;1;3;3;7;2;7;10;51;26;104
"2022";5;6;4;7;7;7;8;8;5;4;11;3;75;24;47,06
"2023";4;5;8;11;14;12;8;8;5;7;12;6;100;25;33,33
"2024";11;2;13;5;3;2;3;5;7;8;2;2;63;-37;-37
"2025";6;10;7;11;10;5;13;9;8;10;11;6;106;43;68,25
"2026";9;2;6;;;;;;;;;;17;-89;-83,96
