"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;11;17;9;6;13;15;11;10;10;102;;
"2017";2;3;5;10;10;7;5;8;8;10;4;5;77;-25;-24,51
"2018";4;3;11;10;6;8;6;10;5;7;2;6;78;1;1,3
"2019";6;9;5;12;6;5;3;3;5;7;11;3;75;-3;-3,85
"2020";7;7;4;0;1;1;4;5;1;0;6;3;39;-36;-48
"2021";1;1;4;3;3;4;4;4;3;7;7;8;49;10;25,64
"2022";2;11;8;10;23;11;20;9;9;14;8;7;132;83;169,39
"2023";5;8;12;8;8;5;8;10;4;8;5;11;92;-40;-30,3
"2024";10;11;14;12;9;17;17;2;5;7;7;11;122;30;32,61
"2025";1;10;0;5;6;9;10;6;9;8;8;8;80;-42;-34,43
"2026";11;8;10;;;;;;;;;;29;-51;-63,75
