"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;13;8;13;11;18;9;11;10;4;97;;
"2017";5;4;0;9;12;8;18;8;10;6;12;8;100;3;3,09
"2018";10;5;10;14;9;10;7;7;8;11;12;11;114;14;14
"2019";9;6;6;6;5;6;12;7;8;9;8;4;86;-28;-24,56
"2020";3;8;5;0;2;3;8;11;11;17;13;13;94;8;9,3
"2021";15;11;15;16;11;18;29;19;16;10;5;10;175;81;86,17
"2022";25;11;15;12;18;21;16;16;7;14;8;16;179;4;2,29
"2023";7;11;8;13;17;10;11;7;13;12;22;17;148;-31;-17,32
"2024";7;22;19;12;4;11;8;4;11;15;8;13;134;-14;-9,46
"2025";6;14;8;13;8;8;10;11;8;5;20;12;123;-11;-8,21
"2026";6;13;22;;;;;;;;;;41;-82;-66,67
