"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;44;35;46;47;63;54;49;49;46;433;;
"2017";33;12;45;52;53;49;60;55;59;44;53;40;555;122;28,18
"2018";50;35;42;38;70;39;22;42;40;42;50;30;500;-55;-9,91
"2019";38;60;56;44;70;38;67;47;41;46;34;25;566;66;13,2
"2020";29;42;38;8;7;22;32;38;41;44;44;23;368;-198;-34,98
"2021";36;43;27;37;52;51;42;58;45;26;57;47;521;153;41,58
"2022";48;56;71;71;70;50;46;62;59;47;56;65;701;180;34,55
"2023";50;28;35;29;55;58;43;57;70;53;61;57;596;-105;-14,98
"2024";37;35;45;28;35;23;27;44;29;50;53;61;467;-129;-21,64
"2025";54;41;45;53;53;78;51;54;29;56;42;34;590;123;26,34
"2026";34;41;48;;;;;;;;;;123;-467;-79,15
