"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;22;20;26;22;41;26;29;25;22;233;;
"2017";12;1;16;12;24;23;21;19;26;24;25;27;230;-3;-1,29
"2018";20;15;18;22;23;11;15;11;19;12;14;7;187;-43;-18,7
"2019";19;11;7;5;12;15;12;12;9;14;16;11;143;-44;-23,53
"2020";8;7;1;2;0;4;6;6;7;12;4;2;59;-84;-58,74
"2021";7;5;1;4;1;4;4;6;3;1;7;8;51;-8;-13,56
"2022";6;8;3;5;8;5;5;8;7;8;4;5;72;21;41,18
"2023";4;2;7;12;18;10;7;13;8;7;9;6;103;31;43,06
"2024";8;7;2;2;4;3;5;7;5;11;8;5;67;-36;-34,95
"2025";3;8;2;4;5;5;6;3;5;6;9;5;61;-6;-8,96
"2026";3;1;5;;;;;;;;;;9;-52;-85,25
