"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;3;2;5;5;6;7;5;0;1;34;;
"2017";2;0;3;1;2;0;2;1;4;1;1;2;19;-15;-44,12
"2018";2;3;4;3;2;2;3;2;0;3;5;1;30;11;57,89
"2019";2;3;4;2;3;1;5;4;3;7;4;2;40;10;33,33
"2020";0;1;1;0;0;0;2;0;3;0;0;0;7;-33;-82,5
"2021";0;0;1;1;1;1;1;3;1;0;0;0;9;2;28,57
"2022";1;0;1;2;0;2;1;1;3;0;1;1;13;4;44,44
"2023";1;0;1;2;3;1;2;0;3;0;0;0;13;0;0
"2024";4;2;2;0;1;2;0;0;0;2;0;0;13;0;0
"2025";1;0;0;0;0;0;0;2;1;2;1;0;7;-6;-46,15
"2026";1;0;1;;;;;;;;;;2;-5;-71,43
