"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;12;19;18;25;14;13;19;14;25;159;;
"2017";12;3;10;9;19;22;13;14;8;14;13;13;150;-9;-5,66
"2018";17;9;12;16;17;13;9;14;5;9;6;5;132;-18;-12
"2019";13;10;8;2;6;12;9;9;6;9;7;7;98;-34;-25,76
"2020";5;14;4;1;2;2;5;3;7;6;3;4;56;-42;-42,86
"2021";7;6;4;4;8;9;4;5;4;1;5;10;67;11;19,64
"2022";6;2;2;2;3;11;3;3;6;0;3;3;44;-23;-34,33
"2023";6;3;5;4;6;4;4;8;4;8;4;3;59;15;34,09
"2024";5;3;7;3;6;7;7;4;8;7;3;4;64;5;8,47
"2025";6;4;3;6;4;2;4;3;3;2;5;5;47;-17;-26,56
"2026";4;4;4;;;;;;;;;;12;-35;-74,47
