"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;22;18;14;26;35;20;14;16;26;191;;
"2017";13;10;8;14;13;14;12;9;13;9;18;11;144;-47;-24,61
"2018";8;16;14;10;16;16;7;13;11;10;10;11;142;-2;-1,39
"2019";15;15;18;6;9;5;13;17;9;14;5;21;147;5;3,52
"2020";12;12;15;4;1;0;1;5;6;7;3;0;66;-81;-55,1
"2021";3;1;4;8;4;6;11;7;5;15;4;5;73;7;10,61
"2022";7;8;8;9;4;12;12;14;12;11;12;19;128;55;75,34
"2023";15;7;13;19;13;16;11;19;10;14;12;9;158;30;23,44
"2024";12;9;7;12;11;13;11;10;12;7;7;4;115;-43;-27,22
"2025";7;8;10;9;10;11;16;10;8;8;8;9;114;-1;-0,87
"2026";10;7;7;;;;;;;;;;24;-90;-78,95
