"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;15;9;9;10;8;10;12;13;8;94;;
"2017";7;1;7;8;18;16;14;11;8;3;5;6;104;10;10,64
"2018";16;4;11;13;17;14;10;22;18;18;20;21;184;80;76,92
"2019";9;10;13;7;18;11;18;12;9;21;18;16;162;-22;-11,96
"2020";15;15;8;9;9;6;8;5;6;10;12;9;112;-50;-30,86
"2021";10;10;19;9;5;13;17;17;11;17;18;19;165;53;47,32
"2022";8;17;14;12;26;31;13;20;13;12;18;10;194;29;17,58
"2023";12;12;10;12;15;14;12;17;11;13;19;17;164;-30;-15,46
"2024";12;14;12;12;18;19;14;12;11;23;24;16;187;23;14,02
"2025";15;7;21;12;16;14;15;16;15;8;22;12;173;-14;-7,49
"2026";8;6;14;;;;;;;;;;28;-145;-83,82
