"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;22;13;37;42;48;79;50;67;38;396;;
"2017";36;27;45;38;30;24;20;10;9;7;18;11;275;-121;-30,56
"2018";3;11;17;17;17;11;29;44;26;18;24;18;235;-40;-14,55
"2019";21;38;28;43;49;16;17;22;9;23;28;20;314;79;33,62
"2020";21;9;4;0;1;2;2;2;3;11;4;8;67;-247;-78,66
"2021";16;6;15;24;22;25;14;12;9;14;2;5;164;97;144,78
"2022";11;13;17;18;25;20;28;21;13;16;10;12;204;40;24,39
"2023";23;14;11;4;19;31;19;4;7;9;8;14;163;-41;-20,1
"2024";20;6;3;7;9;8;9;22;10;11;3;18;126;-37;-22,7
"2025";19;6;6;8;8;6;4;0;2;0;2;0;61;-65;-51,59
"2026";8;3;2;;;;;;;;;;13;-48;-78,69
