"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;7;11;7;6;8;5;11;6;3;64;;
"2017";2;2;7;15;11;14;6;8;7;4;15;9;100;36;56,25
"2018";11;8;6;14;30;19;11;13;11;7;8;4;142;42;42
"2019";8;8;24;16;23;20;12;15;14;8;10;5;163;21;14,79
"2020";4;7;3;2;3;4;1;3;3;7;7;3;47;-116;-71,17
"2021";6;4;9;5;9;3;3;6;5;4;3;4;61;14;29,79
"2022";4;2;2;1;5;3;3;3;6;1;6;1;37;-24;-39,34
"2023";3;1;3;14;5;12;1;12;18;12;4;5;90;53;143,24
"2024";3;5;3;4;3;3;4;0;3;5;5;4;42;-48;-53,33
"2025";4;19;8;6;12;18;22;6;1;4;2;3;105;63;150
"2026";0;2;1;;;;;;;;;;3;-102;-97,14
