"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;16;15;18;16;8;8;22;32;19;154;;
"2017";17;19;57;24;39;39;42;38;39;57;34;23;428;274;177,92
"2018";24;19;31;25;36;15;4;20;23;21;8;14;240;-188;-43,93
"2019";18;28;28;28;27;25;18;29;13;3;18;13;248;8;3,33
"2020";11;23;5;6;1;10;18;11;16;18;22;18;159;-89;-35,89
"2021";29;24;20;17;17;22;19;15;10;8;8;3;192;33;20,75
"2022";11;10;10;13;20;12;14;6;7;5;9;8;125;-67;-34,9
"2023";10;5;8;10;14;10;7;11;7;5;8;14;109;-16;-12,8
"2024";9;8;11;9;9;15;12;14;8;17;13;25;150;41;37,61
"2025";15;23;10;12;13;12;9;10;5;12;17;15;153;3;2
"2026";5;11;8;;;;;;;;;;24;-129;-84,31
