"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;12;6;5;12;15;11;10;9;5;85;;
"2017";5;2;7;25;13;22;35;23;17;11;4;19;183;98;115,29
"2018";7;8;29;20;17;24;41;18;12;9;14;8;207;24;13,11
"2019";8;7;15;7;17;11;19;9;5;16;6;6;126;-81;-39,13
"2020";2;4;4;2;6;4;4;7;4;15;10;7;69;-57;-45,24
"2021";7;8;14;5;3;9;8;9;5;7;7;13;95;26;37,68
"2022";8;0;11;5;9;1;1;7;12;9;6;3;72;-23;-24,21
"2023";4;6;5;2;4;2;0;0;1;5;1;13;43;-29;-40,28
"2024";12;6;8;8;8;6;3;4;2;7;1;8;73;30;69,77
"2025";5;4;3;2;5;0;1;1;2;0;2;1;26;-47;-64,38
"2026";0;0;0;;;;;;;;;;0;-26;-100
