"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;1;2;1;0;0;1;2;2;0;9;;
"2017";1;2;1;1;1;2;3;4;2;4;4;2;27;18;200
"2018";0;2;2;3;3;5;0;2;2;3;11;6;39;12;44,44
"2019";3;3;1;1;4;2;0;0;4;4;3;3;28;-11;-28,21
"2020";6;2;3;1;1;1;2;5;0;0;1;2;24;-4;-14,29
"2021";5;3;7;4;0;4;0;2;1;6;2;0;34;10;41,67
"2022";2;11;3;0;3;2;1;2;3;0;4;2;33;-1;-2,94
"2023";2;3;0;2;2;2;4;1;2;0;3;4;25;-8;-24,24
"2024";2;1;0;0;6;1;2;1;1;0;3;4;21;-4;-16
"2025";3;6;0;1;0;1;0;1;0;1;0;1;14;-7;-33,33
"2026";1;5;0;;;;;;;;;;6;-8;-57,14
