"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;3;6;19;7;10;10;12;3;8;78;;
"2017";1;4;7;12;17;13;14;33;20;9;18;14;162;84;107,69
"2018";14;16;26;30;24;12;5;13;16;9;7;10;182;20;12,35
"2019";19;16;15;26;19;14;8;8;6;8;6;9;154;-28;-15,38
"2020";22;10;12;7;8;6;7;8;4;5;10;13;112;-42;-27,27
"2021";7;19;30;14;7;10;7;13;2;8;2;3;122;10;8,93
"2022";4;6;3;10;5;7;3;8;8;4;5;2;65;-57;-46,72
"2023";3;2;4;1;2;3;4;3;2;1;5;3;33;-32;-49,23
"2024";9;5;6;5;6;7;5;9;8;10;5;9;84;51;154,55
"2025";11;9;6;8;7;12;5;4;6;2;3;3;76;-8;-9,52
"2026";7;5;5;;;;;;;;;;17;-59;-77,63
