"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;19;30;29;30;32;15;25;13;16;209;;
"2017";12;10;18;22;25;11;12;18;8;14;9;8;167;-42;-20,1
"2018";15;14;15;19;25;34;28;47;28;42;30;48;345;178;106,59
"2019";23;44;52;85;68;39;53;53;39;33;14;4;507;162;46,96
"2020";11;14;19;4;9;14;39;24;5;2;1;4;146;-361;-71,2
"2021";13;21;14;14;20;8;16;10;18;6;8;14;162;16;10,96
"2022";6;24;28;10;9;11;18;22;40;19;12;5;204;42;25,93
"2023";2;6;7;5;6;5;1;13;6;7;8;3;69;-135;-66,18
"2024";7;5;4;4;11;17;10;10;18;22;6;5;119;50;72,46
"2025";13;5;6;6;1;1;0;0;9;1;3;5;50;-69;-57,98
"2026";5;4;2;;;;;;;;;;11;-39;-78
