"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;13;1;13;15;14;35;20;11;7;129;;
"2017";2;12;14;18;8;9;6;8;7;4;4;3;95;-34;-26,36
"2018";8;9;9;6;7;9;23;13;13;8;11;12;128;33;34,74
"2019";27;69;34;29;11;15;7;10;8;13;6;10;239;111;86,72
"2020";13;13;9;2;0;3;0;3;1;9;6;1;60;-179;-74,9
"2021";9;9;4;14;4;12;8;9;23;11;6;4;113;53;88,33
"2022";3;6;7;8;14;1;8;2;5;2;4;6;66;-47;-41,59
"2023";6;7;1;3;1;0;2;2;13;5;4;1;45;-21;-31,82
"2024";2;6;8;19;4;2;5;3;2;2;3;3;59;14;31,11
"2025";8;4;6;0;2;1;1;2;1;7;4;1;37;-22;-37,29
"2026";2;4;1;;;;;;;;;;7;-30;-81,08
