"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;5;11;4;6;2;8;5;12;7;60;;
"2017";6;5;10;10;8;11;5;7;15;10;18;5;110;50;83,33
"2018";4;16;11;7;7;8;6;10;5;11;9;6;100;-10;-9,09
"2019";7;3;9;17;11;4;14;7;14;7;10;8;111;11;11
"2020";10;8;4;1;0;3;3;7;11;2;3;2;54;-57;-51,35
"2021";4;4;6;1;0;2;4;4;6;3;7;19;60;6;11,11
"2022";5;1;4;6;4;2;10;3;5;3;3;4;50;-10;-16,67
"2023";5;1;6;9;3;3;2;2;3;4;6;8;52;2;4
"2024";10;9;8;10;5;22;8;4;2;15;6;13;112;60;115,38
"2025";5;2;2;4;6;5;7;1;5;4;4;4;49;-63;-56,25
"2026";3;1;3;;;;;;;;;;7;-42;-85,71
