"";"jan";"fev";"mar";"abr";"mai";"jun";"jul";"ago";"set";"out";"nov";"dez";"total";"Dif";"Dif_perc"
"2016";;;;5;2;5;9;2;7;5;1;2;38;;
"2017";0;0;6;7;6;6;2;4;6;3;6;7;53;15;39,47
"2018";5;7;1;2;8;1;6;7;10;13;7;11;78;25;47,17
"2019";12;15;18;17;12;10;9;3;11;14;19;30;170;92;117,95
"2020";13;13;6;3;0;5;7;8;5;9;8;5;82;-88;-51,76
"2021";11;12;9;14;9;8;8;1;4;4;2;4;86;4;4,88
"2022";1;2;3;2;3;4;4;4;3;4;5;2;37;-49;-56,98
"2023";3;4;2;2;3;3;2;2;4;5;0;3;33;-4;-10,81
"2024";4;1;3;7;2;4;4;5;5;3;6;6;50;17;51,52
"2025";7;2;4;8;7;9;3;3;2;1;3;1;50;0;0
"2026";4;3;1;;;;;;;;;;8;-42;-84
